Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rpl41	Rpl41	2604.6132555668	0.996063562721187	0.0974062533982574	10.2258687504247	1.518601390657e-24	1.49703725090967e-20
Romo1	Romo1	432.645026719221	0.775733711985615	0.133410547739606	5.81463553766161	6.07661335381943e-09	2.30397132469046e-06
Tmsb10	Tmsb10	3412.04426573068	0.756546376389746	0.111063860296418	6.8118141614257	9.63755564714364e-12	7.30823258227246e-09
Polr2f	Polr2f	1074.11367492136	0.739743856295463	0.105315173829198	7.02409566825758	2.15457148373878e-12	2.35997396518854e-09
Uba52	Uba52	2407.85476511404	0.737371972956171	0.0934829590579852	7.88776885527123	3.0763688002272e-15	7.58171090815993e-12
Atp5j2	Atp5j2	1828.42150276357	0.733430347008668	0.101082507900628	7.25575930238781	3.99414806411645e-13	4.92178895200749e-10
Rpl23	Rpl23	6282.66795724841	0.698891936390312	0.0858248097691513	8.14323898031546	3.84841617331286e-16	1.26458955455061e-12
Lgals1	Lgals1	674.709878544279	0.697499297118069	0.10832470530869	6.43896787099882	1.20288657293763e-10	7.41128489751199e-08
Rpl13a	Rpl13a	5934.28994493414	0.690994415415486	0.0770516986780509	8.9679322749613	3.02132722338307e-19	1.48921218840552e-15
Dbi	Dbi	2003.63708727485	0.686942436365226	0.09276341026879	7.4053167555478	1.3083779081083e-13	1.84256991687594e-10
Rpl17	Rpl17	3731.81965594933	0.680018000934997	0.0918268158660496	7.40544027930751	1.30716055655364e-13	1.84256991687594e-10
Atpif1	Atpif1	1850.65171991329	0.667143043268202	0.0853829165684282	7.81354245182683	5.5602674995801e-15	1.09626234021721e-11
Timm13	Timm13	1300.6347466461	0.647488218978587	0.114181295994703	5.67070301083834	1.42212740494768e-08	4.38104123686696e-06
Ndufb3	Ndufb3	527.286180827763	0.641981944538689	0.115516130886087	5.55750906487477	2.73651776643431e-08	6.91707490807933e-06
Sf3b5	Sf3b5	1526.79038819128	0.630329756357175	0.103404800763276	6.0957494401076	1.089259143297e-09	4.66865940635732e-07
Ndufa7	Ndufa7	556.2146749616	0.629489012249592	0.123660827536844	5.09044800029371	3.57218525916842e-07	5.23368155481036e-05
Atp5k	Atp5k	391.816254213474	0.629305396767092	0.126762985363302	4.96442549821232	6.89047298404257e-07	9.05683769022556e-05
Rplp2	Rplp2	5341.95469145326	0.626726919370288	0.0901966622859277	6.94844912756898	3.69323632992759e-12	3.30981124912965e-09
D8Ertd738e	D8Ertd738e	729.32360703089	0.617197849577755	0.113802642044626	5.42340527854996	5.8474207671232e-08	1.28097497605112e-05
Ndufa13	Ndufa13	969.956504688188	0.612521500568295	0.123918988099017	4.94291883725568	7.69615296863234e-07	9.60362986895919e-05
Mrpl41	Mrpl41	573.375023496568	0.611575405248418	0.115103987792864	5.31324254680889	1.07691545291423e-07	2.13792072331838e-05
Ndufs6	Ndufs6	591.125205501567	0.608001831471099	0.118919744170251	5.11270719352252	3.17574355651483e-07	4.89163749689424e-05
Cox6b1	Cox6b1	2952.71227049536	0.607539626043777	0.0990418013084493	6.13417383385118	8.56028761346668e-10	4.01844358540736e-07
