Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sema3d	Sema3d	199.359805219304	4.55048993831756	0.353512169801196	12.872229945794	6.45123294999546e-38	3.44183052477636e-35
Nxf3	Nxf3	53.5587788053333	4.38142485624707	0.415954508995136	10.5334231544496	6.05901830992891e-26	1.46130241595354e-23
Fibin	Fibin	68.3937822904416	4.35826516500534	0.320854525943111	13.5833058679624	5.03037003573918e-42	3.54258779396896e-39
Cp	Cp	95.0765542336604	4.35544557055641	0.369295783669302	11.793921737424	4.1953969499731e-32	1.44831683727895e-29
Fap	Fap	126.19107225482	4.23308843892839	0.382664330625879	11.0621453324506	1.91462415776492e-28	5.61814548693487e-26
Rspo4	Rspo4	163.307065525265	4.16428851904037	0.323639057872058	12.8670765093088	6.89633385990501e-38	3.57108393933787e-35
Nkx3-2	Nkx3-2	70.7974913808706	4.10401181967182	0.328623733663578	12.4884827213156	8.62834467089049e-36	3.89514451988969e-33
Angptl1	Angptl1	54.5365470858816	3.94973650286189	0.345582344948626	11.4292195784743	2.98782002881886e-30	9.39349275489014e-28
Lhx9	Lhx9	208.703881065622	3.92817728136199	0.464184197463712	8.46253987711222	2.61616240471679e-17	2.80854605472219e-15
Colec10	Colec10	197.196205578264	3.92536821447431	0.236022186641351	16.6313526297387	4.13160702962527e-62	6.61282485123478e-59
Lum	Lum	353.246047352215	3.80444369723563	0.314745080964114	12.0873809547143	1.23150188742093e-33	4.92768687043928e-31
Pkdcc	Pkdcc	2481.97968597533	3.70768610458941	0.255838918284995	14.4922677497377	1.35591238260887e-47	1.32623296712288e-44
Synpo2l	Synpo2l	25.9378013874358	3.68205775323312	0.398857473917475	9.23151249259267	2.66836986507853e-20	3.98129829191294e-18
Cdh8	Cdh8	20.4454533239729	3.62422527424036	0.400684010658336	9.04509583071619	1.49533950265898e-19	2.04084862665225e-17
Myl7	Myl7	52.0843934031064	3.58945285402703	0.40480087304424	8.86720630574021	7.50038725595251e-19	9.50013079340287e-17
