Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Nxf3	Nxf3	53.5587788053333	2.22589298031422	0.389426937150223	5.71581667309157	1.09178394095098e-08	1.14251550140717e-05
En1	En1	47.2588531257812	2.06365505818137	0.415576040322745	4.96577005878079	6.8428995094373e-07	0.000370389633102197
Abcc8	Abcc8	35.1895090129274	2.0388094509246	0.301245245067513	6.76793902744481	1.306297811539e-11	4.10099134954553e-08
Myog	Myog	46.5376986598497	1.9177833240673	0.466386470909127	4.11200462210872	3.92238444589902e-05	0.00832022549287526
Ankrd2	Ankrd2	8.69091018223726	1.88419621243991	0.458901695649659	4.105882001095	4.02775061698254e-05	0.00842981352463666
Rspo4	Rspo4	163.307065525265	1.87723547707362	0.301634474066789	6.22354418499906	4.8604784911329e-10	8.47721454170146e-07
Clec18a	Clec18a	13.7248329851926	1.81139882463468	0.386569929912179	4.6858244381455	2.78835208518623e-06	0.000994744606390188
Gal	Gal	39.7294032722163	1.76886946844174	0.431318040978413	4.10107925100741	4.11227680462464e-05	0.00849347486870961
Gata4	Gata4	127.961278361384	1.70163685844802	0.367700534589019	4.62777912561358	3.69607897465212e-06	0.00126124677532857
Alcam	Alcam	465.180034066635	1.67278620562443	0.245153443956468	6.82342527450467	8.88949909296249e-12	3.88883546314238e-08
Dpt	Dpt	11.5429458159283	1.64140636053358	0.396770096225893	4.13692053949319	3.51997934926415e-05	0.00778212899230976
Chrna4	Chrna4	101.949284410165	1.59600077404551	0.278830266677667	5.72391510097616	1.04096784603108e-08	1.14251550140717e-05
Sytl2	Sytl2	97.80761066761	1.57735027886699	0.32178246498298	4.9019149596931	9.49069223876293e-07	0.00041382054464406
Tdo2	Tdo2	66.8507346433263	1.54142202529523	0.259850971014117	5.93194637402947	2.99364409456875e-09	4.69912313524457e-06
Sema3d	Sema3d	199.359805219304	1.5379310380585	0.318783666637036	4.82437213387589	1.40444981977306e-06	0.000580148653183622
1190002H23Rik	1190002H23Rik	34.2335223430358	1.50742866412015	0.352271255951744	4.27917020946677	1.87591368812209e-05	0.00490770286040874
Flrt1	Flrt1	27.050922916052	1.50382310927367	0.290107044651809	5.18368352991421	2.17545948244144e-07	0.000148470380416884
Ms4a2	Ms4a2	5.55646005513502	1.50140081898532	0.412779752038391	3.63729279736009	0.000275518672913956	0.0349314588116187
Nrxn1	Nrxn1	15.371875300758	1.44547368188516	0.371313481959157	3.89286614172591	9.9066820513383e-05	0.0167209879741782
Smoc2	Smoc2	247.056929336807	1.43445805339684	0.194162439901128	7.38792762455652	1.49134876793938e-13	1.17048508051722e-09
Ntrk2	Ntrk2	95.6902111041846	1.41457733953156	0.350995358086587	4.03018816899167	5.57322198035088e-05	0.0106686421250692
Synpo2l	Synpo2l	25.9378013874358	1.37055408379981	0.36871731255449	3.71708633452699	0.00020153358935962	0.0275861822851617
Wif1	Wif1	60.044113965291	1.36995669739171	0.29104711514019	4.70699287547254	2.51397690605029e-06	0.000939568940339796
Saa2	Saa2	54.0425166039587	1.32239707386822	0.244497049656847	5.40864225447388	6.3504335761882e-08	5.40366595506576e-05
Nkx3-2	Nkx3-2	70.7974913808706	1.31399259286837	0.266313835186256	4.93400048836886	8.05622378106021e-07	0.000399017344564388
Osta	Osta	19.448717017974	1.28491083647206	0.33840473393922	3.79696472184352	0.00014647862555872	0.0216912734471248
Col12a1	Col12a1	128.238183182444	1.28340728058517	0.285070124041681	4.5020757082125	6.72930007017812e-06	0.00207117300395267
Fibin	Fibin	68.3937822904416	1.23797630936441	0.244109681123611	5.07139374262477	3.94912743416316e-07	0.000238420974361766
Plxna4	Plxna4	302.641396927306	1.23579823473854	0.251811263163985	4.90763685154848	9.21803324591759e-07	0.00041382054464406
Mtus2	Mtus2	51.0798103687937	1.21057087700098	0.2334410305156	5.18576736200658	2.15127216176575e-07	0.000148470380416884
Sec1	Sec1	35.8991113402297	1.20986884348559	0.317313674149911	3.8128481122878	0.000137374541537102	0.0209356133835718
Irs4	Irs4	115.405837369251	1.1501974841883	0.296362299522041	3.88105196255827	0.000104005614018892	0.017185011823732
Fam46a	Fam46a	50.8912231726095	1.12477637595209	0.267051789534738	4.21182864159681	2.53311678786041e-05	0.00602459609379466
Tbx3	Tbx3	762.820236642099	1.12180138719681	0.291513722343705	3.8481941027605	0.000118991758595878	0.0186259604653683
Ptgs2	Ptgs2	31.756900640501	1.11502182266843	0.291331427843919	3.82733106043678	0.000129540234188236	0.0199352260397327
Colec10	Colec10	197.196205578264	1.11437666929425	0.177323369517375	6.28443206514331	3.29054384584879e-10	6.45645834353605e-07
Cd55	Cd55	55.316787668035	1.08482708967361	0.26798129907175	4.0481447527544	5.16252164530385e-05	0.0100044570699178
Pkdcc	Pkdcc	2481.97968597533	1.08350159069396	0.237900090764908	4.55443958516465	5.25254171358025e-06	0.00170566575042074
Adamts2	Adamts2	108.736045298301	1.06781680692199	0.263687755123502	4.04955022057002	5.13161650242182e-05	0.0100044570699178
Efemp1	Efemp1	75.6592519517265	1.06494248275125	0.261825961107485	4.06736779747395	4.75471668307403e-05	0.00956856253515552
Adh1	Adh1	141.880815008285	1.06437632505586	0.213471049627895	4.98604530643005	6.16276988299128e-07	0.000345489281618979
Col9a1	Col9a1	954.102523523912	1.06215491267289	0.195529196691208	5.43220619041517	5.56615527525055e-08	5.13952584444752e-05
Lum	Lum	353.246047352215	1.03930134995014	0.28197716260063	3.68576426674002	0.000228017337871016	0.0301108818618461
Sdpr	Sdpr	110.210146988239	1.00680341160343	0.237098230288579	4.24635565764458	2.17275643171188e-05	0.00532902464196585
Hoxc5	Hoxc5	517.079117927789	0.988848420725978	0.155133768574145	6.37416617809657	1.83961038912275e-10	4.12519489686568e-07
Saa1	Saa1	53.181445407373	0.951728552990568	0.189299582264479	5.0276315542042	4.96574811855074e-07	0.000288693882284781
Mafb	Mafb	101.929982649265	0.948701113226494	0.220324562141218	4.30592533127749	1.6628914553941e-05	0.0045004150302278
Ano4	Ano4	51.0616418392456	0.93413188462983	0.241438843658527	3.86902070302738	0.000109273364363585	0.0174754999607363
Col2a1	Col2a1	3146.79238961608	0.918540532181832	0.205221819593764	4.47584245184103	7.61105960489197e-06	0.00226976371590436
Nfasc	Nfasc	80.340638823512	0.915360253526661	0.231950336847846	3.94636311361391	7.93472511252915e-05	0.0138390422323745
Nacc2	Nacc2	120.825356211704	0.902161386400967	0.211805434749116	4.25938733569127	2.0498798810285e-05	0.00524998367259437
Col6a2	Col6a2	137.256937979305	0.893332317513663	0.200779233340466	4.44932627070459	8.61400747802954e-06	0.00250396435893759
Ncrna00085	Ncrna00085	129.822190451171	0.890044353996525	0.227167056086861	3.91801685212754	8.92804658684804e-05	0.0152329942688863
Fgfr4	Fgfr4	41.5295835692141	0.860253654979535	0.229855112619226	3.74259090945093	0.000182132608711884	0.0253003146809774
Spnb1	Spnb1	138.434145855096	0.844905621254788	0.231502507245022	3.64966078039294	0.000262586842776853	0.0340646749675063
E130203B14Rik	E130203B14Rik	54.9563464538488	0.820332958912064	0.204767634493871	4.00616513903528	6.17125107801738e-05	0.0115321581156713
Ccdc141	Ccdc141	219.939043439391	0.81405586691831	0.223832664763225	3.63689485526805	0.000275944504850654	0.0349314588116187
Fam110b	Fam110b	244.596799876496	0.769461932642309	0.163097443188545	4.71780499803907	2.38402835725878e-06	0.00091273397863149
Bnc2	Bnc2	375.766103015932	0.733472340775025	0.195803347808862	3.74596424924779	0.000179702183818958	0.0252505095435098
Irs1	Irs1	1016.40868904604	0.731098385841047	0.179442295889939	4.07428127362718	4.61566697295726e-05	0.00940936681487145
Cdh6	Cdh6	137.408322764756	0.728419797006715	0.185514507380776	3.92648428034581	8.61965228694e-05	0.014868426587703
Ror1	Ror1	253.362123961334	0.714794341570294	0.189497768644134	3.77204621819393	0.000161914254309222	0.0235330374989987
Tgfbi	Tgfbi	1000.39336296162	0.696494825787957	0.1956495192005	3.55991074567474	0.000370980860762179	0.0444525692472055
Sema6d	Sema6d	694.099767003969	0.692411881055995	0.174743971114009	3.962436452839	7.41887574541733e-05	0.0130847295029007
Prickle2	Prickle2	354.928419554552	0.676276363474785	0.158869260662902	4.25681066716705	2.07363819647608e-05	0.00524998367259437
Btbd11	Btbd11	138.026522798576	0.636376760042668	0.171235968261065	3.71637318085213	0.000202103010944358	0.0275861822851617
Marveld1	Marveld1	394.433301377199	0.615670753984638	0.125026389642897	4.92432642215081	8.46514301973364e-07	0.00040265863630533
Tnni1	Tnni1	265.055058684461	0.607233408019399	0.141728916149623	4.28447083711799	1.83174632407103e-05	0.0048733766184649
Nab1	Nab1	404.105396267331	0.598247945827737	0.11737184962041	5.09703091297036	3.45022005182115e-07	0.000216632416613747
Fbxl7	Fbxl7	521.289088577484	0.551912282491738	0.138816622988571	3.97583711957306	7.0132116147377e-05	0.0126536072087974
Atp1b1	Atp1b1	182.169151547297	0.547690158740528	0.152270318369544	3.59682809233603	0.000322121214032205	0.0398136747768781
Tns3	Tns3	2212.37862524558	0.535191199604661	0.142049835972367	3.76762983174983	0.000164804834127384	0.0236710972638524
Aff3	Aff3	975.688934600167	0.508560331911789	0.135039721516631	3.76600548490585	0.000165880149010879	0.0236710972638524
S1pr3	S1pr3	1874.98953674065	0.455188092153205	0.124833981640389	3.64634762243242	0.000265994087719705	0.0342238458601329
Pcsk6	Pcsk6	166.304138243362	0.453223329084381	0.122363525095785	3.70390873203106	0.000212302668004912	0.028728577410975
Grn	Grn	763.495159546739	0.446776311389089	0.11227919522799	3.97915491362295	6.91606670795947e-05	0.0126536072087974
Cyb5b	Cyb5b	4563.59896968731	-0.273197706604024	0.0706498827240836	-3.86692370985203	0.000110216888329801	0.0174754999607363
Car14	Car14	2143.02968026422	-0.353963947424144	0.0969755816168561	-3.65003170409054	0.000262207943058168	0.0340646749675063
Map2k6	Map2k6	1768.91326395196	-0.374888733962268	0.0967897270021693	-3.87322854990454	0.000107403020321585	0.0174754999607363
Gldc	Gldc	683.593637995628	-0.447072040961869	0.124203432982126	-3.59951436307085	0.000318812024469669	0.0397173995880983
Cyp51	Cyp51	3096.7175019213	-0.48896810673896	0.115120645687529	-4.24744062039195	2.16226447749373e-05	0.00532902464196585
Tnfrsf19	Tnfrsf19	3402.71875561067	-0.49721292748164	0.134911332011379	-3.68547934460912	0.000228272596136822	0.0301108818618461
