Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Barx1	Barx1	124.288022821198	5.17291741958076	0.397433994523462	13.0157900201348	9.95078033676823e-39	4.37983596522853e-35
Gata4	Gata4	127.961278361384	3.81824014780697	0.364708375283505	10.4692965848094	1.1952786837714e-25	2.10440765064792e-22
Lhx9	Lhx9	208.703881065622	3.76141983929873	0.461114670068119	8.15723307771376	3.42786511298304e-16	1.84800939454701e-13
Lbx1	Lbx1	15.4874809077852	3.74480415048239	0.43151682608773	8.67823436790168	4.01960067706142e-18	3.21677679637924e-15
Rspo4	Rspo4	163.307065525265	3.66456293549244	0.298879159995125	12.2610185854116	1.46644874580347e-34	5.16365932372318e-31
Myog	Myog	46.5376986598497	3.44652604906256	0.466447581544119	7.38888180672574	1.48068710829645e-13	4.57350477695918e-11
Ankrd2	Ankrd2	8.69091018223726	3.43433144080979	0.452736074793523	7.58572517636477	3.3063256927378e-14	1.23853553502855e-11
Nkx2-5	Nkx2-5	4.65904469036858	3.37112235382495	0.453473753280188	7.43399663032323	1.05364655179777e-13	3.37281839835482e-11
Nxf3	Nxf3	53.5587788053333	3.30834502734418	0.387543334550688	8.53670991704666	1.38097676787953e-17	1.0571076945777e-14
Shox2	Shox2	33.3506317401753	3.29620268440955	0.44831550585407	7.35241730738282	1.94653960534571e-13	5.6181600478224e-11
Hs3st2	Hs3st2	4.61930301932286	3.15074528280178	0.459073717903625	6.86326652980649	6.73034828366205e-12	1.46289520842166e-09
3110047P20Rik	3110047P20Rik	4.71369891813599	3.09794916523833	0.458789892598243	6.75243551616592	1.45383685643812e-11	2.81277491147797e-09
Sfrp5	Sfrp5	15.3000406092149	3.0821731258974	0.378921702312461	8.13406333574378	4.15135481646816e-16	1.9753716999659e-13
Ttn	Ttn	49.312617132475	3.07684424786035	0.353979454479246	8.69215489465856	3.55628768612097e-18	2.98152385723075e-15
En1	En1	47.2588531257812	3.02844502107304	0.411068165631817	7.3672574873763	1.74173880735451e-13	5.28707817970404e-11
Unc45b	Unc45b	11.9084023643914	3.00997692100584	0.4230633167429	7.11471971661168	1.12140490938893e-12	2.70458285406869e-10
Cdh8	Cdh8	20.4454533239729	3.00516851245293	0.371765167922777	8.08351285098652	6.29273215845634e-16	2.84076518927647e-13
C130021I20Rik	C130021I20Rik	288.737757233092	2.95543867501918	0.409436444619022	7.21830876039675	5.26380947573337e-13	1.38320342730988e-10
Dcx	Dcx	84.0396148766997	2.90661206539388	0.343732016005982	8.4560411310167	2.76608074160643e-17	1.94798470146891e-14
Alcam	Alcam	465.180034066635	2.90412372754997	0.244372167266679	11.8840200176346	1.43305941300541e-32	4.20507400422887e-29
Vgll2	Vgll2	6.56261463879055	2.89483258418265	0.451831035655653	6.4068918594358	1.48516078657872e-10	2.19854493880857e-08
Enpep	Enpep	5.66463510823712	2.85099209116517	0.441932060510234	6.45119996017837	1.10967967634686e-10	1.71377371769849e-08
Lamc3	Lamc3	54.5942127219277	2.72868206858403	0.334086781509859	8.16758465046755	3.14624970151193e-16	1.78686684660707e-13
Nrxn1	Nrxn1	15.371875300758	2.72419491521276	0.359378134566626	7.58030234226094	3.44750615119342e-14	1.26451652703982e-11
Synpo2l	Synpo2l	25.9378013874358	2.66686475472606	0.362171442138141	7.36354235712724	1.79092934150576e-13	5.34425457399159e-11
