Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Barx1	Barx1	124.288022821198	4.20924238252134	0.38596340486189	10.9058069482715	1.08129579950768e-27	9.51864692306608e-24
Nkx2-5	Nkx2-5	4.65904469036858	3.1111649303143	0.45847661317033	6.78587487549438	1.15385122844849e-11	2.35087062518652e-08
Hs3st2	Hs3st2	4.61930301932286	3.01788548103048	0.460369756690164	6.55535129572284	5.55110413981750e-11	8.83794401761259e-08
Shox2	Shox2	33.3506317401753	2.91869245621497	0.446068707956065	6.54314549341229	6.02381734700392e-11	8.83794401761259e-08
Lhx9	Lhx9	208.703881065622	2.87543501712534	0.460558288181609	6.24336830084684	4.28246906587026e-10	4.1062189355052e-07
C130021I20Rik	C130021I20Rik	288.737757233092	2.50305283960628	0.408779139386128	6.12324015204193	9.16913344081209e-10	7.68722682661608e-07
Tecrl	Tecrl	4.98339952846745	2.48400784195339	0.45909302580827	5.41068520389761	6.27840535272503e-08	2.08561518188824e-05
Myl4	Myl4	26.2998435287502	2.4826510966831	0.413385299641665	6.0056588824884	1.90556453890298e-09	1.19819175971164e-06
3110047P20Rik	3110047P20Rik	4.71369891813599	2.47216647795485	0.460705558403533	5.36604439182711	8.04821412806338e-08	2.57630650797607e-05
Lbx1	Lbx1	15.4874809077852	2.40839871004596	0.410984043330403	5.86007838778737	4.62648726914159e-09	2.54543546439084e-06
Tfap2c	Tfap2c	104.014010420011	2.40764896112919	0.446776076181099	5.38893886554763	7.08749080296111e-08	2.31078450142469e-05
Unc45b	Unc45b	11.9084023643914	2.38955541141948	0.411594668127029	5.8056034163251	6.41346038733029e-09	3.22615381655249e-06
Dcx	Dcx	84.0396148766997	2.23887638138531	0.336364745332425	6.65609702697189	2.81194659302317e-11	4.9507131716766e-08
Mybpc3	Mybpc3	4.95156744006936	2.19323898212331	0.442804050939418	4.9530689194697	7.30520862966143e-07	0.000167033120953012
Stk32a	Stk32a	24.8565311299989	2.1590165917888	0.356607160302323	6.05432765275503	1.41005347762435e-09	9.54823135655937e-07
Gata4	Gata4	127.961278361384	2.11660328935895	0.354897646490446	5.96398232078986	2.46163384817717e-09	1.49446639762094e-06
Ttn	Ttn	49.312617132475	2.05808086786825	0.342012514189509	6.01756012567385	1.77065556222917e-09	1.1545985862447e-06
Tnnt2	Tnnt2	48.0979276921831	2.02318594825631	0.371523313668805	5.44565004084745	5.16165319328095e-08	1.81752132241809e-05
Ccdc3	Ccdc3	9.68988868958463	1.99937595833446	0.410381090946206	4.87199825343938	1.1047514589377e-06	0.000241625241275479
Gja3	Gja3	3.39860762115211	1.96011604153802	0.456359895044065	4.29511020320653	1.74606578317507e-05	0.00236471032142925
Enpep	Enpep	5.66463510823712	1.95481377751892	0.428651279597665	4.56038246136515	5.10605365618574e-06	0.000864395967988521
Musk	Musk	1.90693219860085	1.90728617750652	0.449675451868369	4.24147275458753	2.22057849216969e-05	0.00285368649147004
Myh7	Myh7	7.52427039750981	1.86368984594513	0.463269163910442	4.02290933895486	5.74836281186311e-05	0.00598850151867821
Cdh8	Cdh8	20.4454533239729	1.85492608389211	0.329419680687495	5.63089029781373	1.79281739164652e-08	7.69862024325087e-06
