Gene baseMean log2FoldChange lfcSE stat pvalue padj Contrast
Eno3 Eno3 2133.43681843232 0.535889075308993 0.13993191852399 3.82964144965339 0.000128330102165041 0.00376549342555924 SomAB
Fbxo21 Fbxo21 2710.64744833171 -0.273298417743916 0.0775772985926198 -3.52291743463617 0.000426824305290245 0.0104708716682306 SomAB
Enc1 Enc1 1267.91814530204 -0.601117597414075 0.156385511845715 -3.84381897222754 0.000121134375937406 0.00363204546868059 SomAB
Sp4 Sp4 771.699116221911 -0.771467392378298 0.189754056739242 -4.06561738723952 4.79054739046309e-05 0.00158030462113052 SomAB
Slco5a1 Slco5a1 123.575673572821 -0.818847922830568 0.237878429367994 -3.44229581894465 0.000576799114307057 0.0132978854630371 SomAB
Sall4 Sall4 2316.58515073442 -1.23578239512014 0.134825771833112 -9.1657728216071 4.91932074695039e-20 2.69923129385168e-17 SomAB
Sp8 Sp8 207.753915387141 -1.70727098858548 0.201362298767305 -8.47860299091244 2.27913942843842e-17 7.81602377740102e-15 SomAB
Btg2 Btg2 742.984423599316 -1.83998863150833 0.209598181683471 -8.77864787151171 1.65451650614455e-18 6.98333236093472e-16 SomAB
Rspo3 Rspo3 898.204742938574 -2.52504019190142 0.200605181347795 -12.5871135278589 2.48598725141908e-36 6.82030602426824e-33 SomAB
Pcdh8 Pcdh8 628.475160881769 -3.08836570546793 0.402995193155051 -7.66352988304676 1.80891155594438e-14 4.31543378585514e-12 SomAB
Ptn Ptn 3732.86474286495 0.983589754582053 0.190531881302933 5.16233686381446 2.4388589218315e-07 8.63954731946991e-06 SomAC
Lgals1 Lgals1 1508.92486970928 0.745442938506592 0.207167163838434 3.59826781761587 0.000320343654043425 0.00498671120520648 SomAC
Prrx2 Prrx2 1067.6804681945 0.693964981818952 0.237280321562173 2.92466301988349 0.00344829411472577 0.0368389964707899 SomAC
Lgr4 Lgr4 1054.35994244148 0.673930357576307 0.232649449832063 2.89676316906307 0.00377034264127403 0.0397488937378865 SomAC
Eno31 Eno3 2133.43681843232 0.588480573399586 0.139841788442796 4.20818826727399 2.57426350994201e-05 0.000551368410657408 SomAC
Ctdsp1 Ctdsp1 2084.08146558813 0.355239433264121 0.125413813361808 2.8325383284478 0.004618002945306 0.0468260770763213 SomAC
Fbxo211 Fbxo21 2710.64744833171 -0.301084796653376 0.0775150062886557 -3.8842130197626 0.000102661871311816 0.00185953179662123 SomAC
Dbi Dbi 1934.76534898679 -0.41941031388312 0.14010343614973 -2.99357621346911 0.00275728634475211 0.0304794908036284 SomAC
Fam60a Fam60a 3814.12368974126 -0.424206876836897 0.12850928893456 -3.30098221189997 0.000963469908013114 0.012802151849418 SomAC
Eif5a2 Eif5a2 756.293983647104 -0.477080305685343 0.151286670562163 -3.15348539241806 0.00161333302564699 0.0195892008617524 SomAC
Dtnbp1 Dtnbp1 768.492962968331 -0.481089915988437 0.146487682327765 -3.28416634316053 0.00102284531953566 0.013369499742407 SomAC
Csrp2 Csrp2 3842.34904387543 -0.680297246562357 0.195208669543101 -3.48497455648173 0.000492183840274561 0.00717927812085661 SomAC
Fdft1 Fdft1 1557.39606614273 -0.833649460240411 0.185368880900427 -4.49724601125587 6.88393200965743e-06 0.000172647445814856 SomAC
Sp41 Sp4 771.699116221911 -0.875620389700998 0.189778081083426 -4.61391739605628 3.95149523052837e-06 0.000104302886099974 SomAC
Enc11 Enc1 1267.91814530204 -0.95384593113287 0.156719851333192 -6.08631212331208 1.15541094707481e-09 6.20187961408509e-08 SomAC
Sall41 Sall4 2316.58515073442 -1.40372628731744 0.134897387319826 -10.4058819463224 2.33087608045109e-25 6.95549224956304e-23 SomAC
Slco5a11 Slco5a1 123.575673572821 -1.4529735686849 0.242269930692806 -5.99733348884823 2.00583866530321e-09 1.03259636085755e-07 SomAC
Btg21 Btg2 742.984423599316 -2.1366327666322 0.210078091101094 -10.1706596600976 2.680868549579e-24 7.15141995210422e-22 SomAC
Sp81 Sp8 207.753915387141 -2.4039405774473 0.207265938569087 -11.5983388010761 4.20154685652003e-31 2.31163856112161e-28 SomAC
Rspo31 Rspo3 898.204742938574 -2.60520401408536 0.200573821968772 -12.9887539087278 1.41715620475899e-38 1.55940325881168e-35 SomAC
Pcdh81 Pcdh8 628.475160881769 -3.8749357921077 0.403766341922948 -9.59697575001723 8.23244791549018e-22 1.88234387013143e-19 SomAC
Ptn1 Ptn 3732.86474286495 1.58615488254171 0.190477794241073 8.32724301990938 8.27467690692645e-17 8.37264147260615e-15 SomAD
Lgals11 Lgals1 1508.92486970928 1.23956496578174 0.207042996309095 5.98699298155049 2.13756002824457e-09 7.6028044156109e-08 SomAD
Bmp7 Bmp7 451.697417752316 1.04562818669316 0.174366268280194 5.99673432829858 2.01325022920336e-09 7.18971268465607e-08 SomAD
Lgr41 Lgr4 1054.35994244148 0.881206604732802 0.232703968194895 3.7868138286098 0.000152591339965182 0.00210873087239168 SomAD
Prrx21 Prrx2 1067.6804681945 0.773987027632543 0.237400106563097 3.26026402783787 0.00111308544815291 0.0115684665880639 SomAD
Eno32 Eno3 2133.43681843232 0.581035748648134 0.14005276202779 4.14869182324903 3.34380592363206e-05 0.000541591969562706 SomAD
Dad1 Dad1 1398.08389248219 -0.311434854306895 0.0927379790806598 -3.35822343115781 0.00078445177554717 0.00868074038987019 SomAD
Fbxo212 Fbxo21 2710.64744833171 -0.361313690301451 0.0779289261925795 -4.63645154571443 3.54441233442347e-06 7.29006116353501e-05 SomAD
Dtnbp11 Dtnbp1 768.492962968331 -0.402348264915213 0.146972720135962 -2.73757105769702 0.00618947471044767 0.0490422555140152 SomAD
