"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044707","GO:0044707","single-multicellular organism process","145/242","5160/16604",1.15638916035738e-20,2.64827271208516e-17,1.88295875920592e-17,"Unc5a/Unc5b/Dio3/Chrnb4/Cbr3/Bmp3/Chrna3/Slc8a3/Abca4/Dok4/Tle6/Adcyap1r1/Adh1/Adra1a/Alx3/Alx4/Apod/Aqp3/Barx1/Barx2/Bmp7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gng8/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Mbp/Mme/Msx1/Msx2/Msx3/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Plcb2/Pnliprp2/Aldh1a2/Prrx2/Sct/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Adamts2/Tec/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Prdm13/Slc10a4/P2rx2/Cyp26b1/Apob/Grem1/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Amot/Lmcd1/Pkd2l1/Olig2/Irf7/Irx5/Hpgds/Cyp26c1/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bhlhe41/Bcl9l/Sp6/Sytl2/Wnt16",145
"GO:0032501","GO:0032501","multicellular organismal process","147/242","5295/16604",1.48695828864973e-20,2.64827271208516e-17,1.88295875920592e-17,"Unc5a/Unc5b/Dio3/Chrnb4/Cbr3/Bmp3/Chrna3/Slc8a3/Abca4/Dok4/Tle6/Adcyap1r1/Adh1/Adra1a/Alx3/Alx4/Apod/Aqp3/Barx1/Barx2/Bmp7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gng8/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Mbp/Mme/Msx1/Msx2/Msx3/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Plcb2/Pnliprp2/Aldh1a2/Prrx2/Sct/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Adamts2/Tec/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Prdm13/Slc10a4/P2rx2/Cyp26b1/A2m/Apob/Grem1/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Amot/Lmcd1/Klk14/Pkd2l1/Olig2/Irf7/Irx5/Hpgds/Cyp26c1/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bhlhe41/Bcl9l/Sp6/Sytl2/Wnt16",147
"GO:0051239","GO:0051239","regulation of multicellular organismal process","89/242","2274/16604",1.02243246116133e-19,1.21396814221889e-16,8.63148246159356e-17,"Dio3/Chrnb4/Chrna3/Tle6/Adra1a/Apod/Bmp7/Clu/Cobl/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata6/Gdf10/Hand2/Hhip/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Msx1/Msx2/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Pax9/Sct/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Tnni2/Tph1/Tshr/Wisp1/Wnt4/Wnt7a/Wt1/Cyp26b1/Grem1/Lrrtm4/Plxna4/Nfkbid/Shank1/Avpr1b/Amot/Lmcd1/Rnf207/Olig2/Irf7/Irx5/Hpgds/Heyl/Nupr1/Cacna2d2/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bcl9l/Sp6/Sytl2",89
"GO:0065007","GO:0065007","biological regulation","194/242","8743/16604",2.71152678717364e-19,2.41461460397812e-16,1.71682459208941e-16,"Unc5a/Unc5b/Dio3/Chrnb4/Slco4a1/Bmp3/Chrna3/Slc8a3/Abca4/Dok4/Chrna6/Tle6/Adcyap1r1/Adh1/Adra1a/Aebp1/Alx3/Alx4/Apod/Aqp3/Arl4a/Barx1/Barx2/Bmp7/Car7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dcn/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gad1/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand1/Hand2/Hhip/Hoxa13/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Kcnj12/Lrrn1/Lum/Blnk/Papln/Syt12/Smad6/Smad7/Msx1/Msx2/Msx3/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Peg3/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Spp1/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Tec/Arl5c/Tle2/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Slc30a10/Prdm13/P2rx2/Cyp26b1/A2m/Slc9a7/Apob/Kcnh5/Grem1/Rxfp3/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Prnd/Fam107a/Irf5/Zfp354b/Magel2/Amot/Lmcd1/Klk14/Pkd2l1/Lgr6/Susd5/Rnf207/Olig2/Grb14/Irf7/Rasa4/Irx5/Hpgds/Cyp26c1/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Isg20/Rab37/Fxyd6/Iigp1/Smoc1/Rnf128/Rab32/Rprm/Bambi/Steap1/Asb12/Prdm16/Atoh8/Scara5/Zcchc12/Kremen2/Fam101a/Rasgef1c/Igfbpl1/Zbtb4/Svip/Sphkap/Bhlhe41/Bcl9l/Syt13/Sp6/Sytl2/Wnt16",194
"GO:0044700","GO:0044700","single organism signaling","125/242","4230/16604",1.62419894076014e-18,1.06893273987174e-15,7.60026056364373e-16,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Adcyap1r1/Adra1a/Apod/Arl4a/Barx1/Bmp7/Car7/Clu/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand2/Hhip/Hoxa13/Id1/Igfbp5/Il15/Isl1/Blnk/Syt12/Smad6/Smad7/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Arl5c/Tle2/Trh/Tshr/Wisp1/Wnt4/Wnt7a/P2rx2/Cyp26b1/Kcnh5/Grem1/Rxfp3/Dusp5/Grin3a/Grip2/Plxna4/Nfkbid/Shank1/Avpr1b/Irf5/Amot/Lmcd1/Klk14/Pkd2l1/Lgr6/Susd5/Grb14/Irf7/Rasa4/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Rab37/Iigp1/Smoc1/Sv2b/Rab32/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Kremen2/Rasgef1c/Sphkap/Bcl9l/Syt13/Sytl2/Wnt16",125
"GO:0023052","GO:0023052","signaling","125/242","4235/16604",1.80056048265874e-18,1.06893273987174e-15,7.60026056364373e-16,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Adcyap1r1/Adra1a/Apod/Arl4a/Barx1/Bmp7/Car7/Clu/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand2/Hhip/Hoxa13/Id1/Igfbp5/Il15/Isl1/Blnk/Syt12/Smad6/Smad7/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Arl5c/Tle2/Trh/Tshr/Wisp1/Wnt4/Wnt7a/P2rx2/Cyp26b1/Kcnh5/Grem1/Rxfp3/Dusp5/Grin3a/Grip2/Plxna4/Nfkbid/Shank1/Avpr1b/Irf5/Amot/Lmcd1/Klk14/Pkd2l1/Lgr6/Susd5/Grb14/Irf7/Rasa4/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Rab37/Iigp1/Smoc1/Sv2b/Rab32/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Kremen2/Rasgef1c/Sphkap/Bcl9l/Syt13/Sytl2/Wnt16",125
"GO:0009888","GO:0009888","tissue development","69/242","1575/16604",2.02764991143546e-17,1.03178414064759e-14,7.33612885250184e-15,"Bmp3/Alx4/Barx1/Barx2/Bmp7/Cobl/Col9a1/Col1a1/Dlx3/Ecm1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Irx3/Isl1/Smad7/Msx1/Msx2/Myf5/Nkx3-1/Nog/Pax1/Pax8/Pax9/Aldh1a2/Prrx2/Snai2/Spp1/Tbx2/Tbx3/Stox1/Agap2/Tec/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/P2rx2/Cyp26b1/Grem1/Dusp5/Klk14/Irx5/Cyp26c1/Smad9/Heyl/Nupr1/Tbx20/Bambi/Atoh8/Fam101a/Bcl9l/Wnt16",69
"GO:0007154","GO:0007154","cell communication","125/242","4425/16604",7.84475468497285e-17,3.49287702348416e-14,2.48348418053219e-14,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Adcyap1r1/Adra1a/Apod/Arl4a/Barx1/Bmp7/Car7/Clu/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand2/Hhip/Hoxa13/Id1/Igfbp5/Il15/Isl1/Blnk/Syt12/Smad6/Smad7/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Arl5c/Tle2/Trh/Tshr/Wisp1/Wnt4/Wnt7a/P2rx2/Cyp26b1/Kcnh5/Grem1/Rxfp3/Dusp5/Grin3a/Grip2/Plxna4/Nfkbid/Shank1/Avpr1b/Irf5/Amot/Lmcd1/Klk14/Pkd2l1/Lgr6/Susd5/Grb14/Irf7/Rasa4/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Rab37/Iigp1/Smoc1/Sv2b/Rab32/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Kremen2/Rasgef1c/Sphkap/Bcl9l/Syt13/Sytl2/Wnt16",125
"GO:0050794","GO:0050794","regulation of cellular process","178/242","7894/16604",1.05411733827247e-16,4.17196217658504e-14,2.96632317647201e-14,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Chrna6/Tle6/Adcyap1r1/Adra1a/Aebp1/Alx3/Alx4/Apod/Arl4a/Barx1/Barx2/Bmp7/Car7/Clu/Cobl/Col1a1/Cux2/Dcn/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand1/Hand2/Hhip/Hoxa13/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Kcnj12/Lrrn1/Lum/Blnk/Papln/Syt12/Smad6/Smad7/Msx1/Msx2/Msx3/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Peg3/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Spp1/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Tec/Arl5c/Tle2/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Slc30a10/Prdm13/Cyp26b1/A2m/Apob/Kcnh5/Grem1/Rxfp3/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Fam107a/Irf5/Zfp354b/Magel2/Amot/Lmcd1/Klk14/Pkd2l1/Lgr6/Susd5/Rnf207/Olig2/Grb14/Irf7/Rasa4/Irx5/Hpgds/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Isg20/Rab37/Fxyd6/Iigp1/Smoc1/Rnf128/Rab32/Rprm/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Kremen2/Fam101a/Rasgef1c/Igfbpl1/Zbtb4/Svip/Sphkap/Bhlhe41/Bcl9l/Sp6/Sytl2/Wnt16",178
"GO:0048731","GO:0048731","system development","109/242","3568/16604",1.57768415180321e-16,5.61971094872303e-14,3.9956927044616e-14,"Unc5a/Unc5b/Bmp3/Chrna3/Slc8a3/Dok4/Tle6/Adra1a/Alx3/Alx4/Barx1/Barx2/Bmp7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dlx3/Ecm1/Nr2f1/Evx1/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gfra3/Gng8/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Mbp/Msx1/Msx2/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Pax1/Pax8/Pax9/Aldh1a2/Prrx2/Sct/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Adamts2/Tph1/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Prdm13/P2rx2/Cyp26b1/Apob/Grem1/Grin3a/Lrrtm4/Plxna4/Nfkbid/Shank1/Amot/Olig2/Irx5/Cyp26c1/Smad9/Heyl/Nupr1/Lgi1/Tbx20/Smoc1/Bambi/Prdm16/Atoh8/Fam101a/Bcl9l/Sp6/Wnt16",109
