"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051216","GO:0051216","cartilage development","15/242","117/10002",1.29823822450513e-07,0.000258586665858995,0.000235786981257859,"Bmp3/Bmp7/Col9a1/Col1a1/Fgf4/Fgfr3/Hand1/Hand2/Msx1/Msx2/Prrx2/Snai2/Grem1/Smad9/Fam101a",15
"GO:0061448","GO:0061448","connective tissue development","17/242","155/10002",1.89547750748995e-07,0.000258586665858995,0.000235786981257859,"Bmp3/Bmp7/Col9a1/Col1a1/Fgf4/Fgfr3/Hand1/Hand2/Id2/Msx1/Msx2/Prrx2/Snai2/Wt1/Grem1/Smad9/Fam101a",17
"GO:0060485","GO:0060485","mesenchyme development","17/242","160/10002",3.00692117044847e-07,0.000258586665858995,0.000235786981257859,"Bmp7/Col1a1/Fgf15/Hand1/Hand2/Isl1/Msx1/Msx2/Aldh1a2/Snai2/Wnt4/Wt1/Grem1/Heyl/Tbx20/Bambi/Bcl9l",17
"GO:0097152","GO:0097152","mesenchymal cell apoptotic process","5/242","8/10002",4.19973736839176e-07,0.000258586665858995,0.000235786981257859,"Bmp7/Msx1/Msx2/Pax8/Wt1",5
"GO:2001053","GO:2001053","regulation of mesenchymal cell apoptotic process","5/242","8/10002",4.19973736839176e-07,0.000258586665858995,0.000235786981257859,"Bmp7/Msx1/Msx2/Pax8/Wt1",5
"GO:0048762","GO:0048762","mesenchymal cell differentiation","15/242","129/10002",4.74906640696042e-07,0.000258586665858995,0.000235786981257859,"Bmp7/Col1a1/Fgf15/Hand2/Isl1/Msx1/Msx2/Aldh1a2/Snai2/Wnt4/Grem1/Heyl/Tbx20/Bambi/Bcl9l",15
"GO:0060411","GO:0060411","cardiac septum morphogenesis","9/242","47/10002",1.49628810351722e-06,0.000698339033455825,0.000636766215481766,"Gata6/Hand1/Id2/Isl1/Smad7/Msx2/Tbx3/Heyl/Tbx20",9
"GO:0009887","GO:0009887","organ morphogenesis","34/242","591/10002",1.98005259884543e-06,0.000808603980053502,0.000737309059833232,"Alx3/Alx4/Bmp7/Col9a1/Col1a1/Fgf4/Fgfr3/Gata3/Gata6/Hand1/Hand2/Hhip/Id1/Id2/Igfbp5/Isl1/Smad7/Msx1/Msx2/Nkx3-1/Pax1/Pax8/Aldh1a2/Prrx2/Snai2/Tbx3/Wnt4/Wt1/Grem1/Irx5/Heyl/Tbx20/Fam101a/Sp6",34
"GO:0003279","GO:0003279","cardiac septum development","10/242","63/10002",2.36690406457164e-06,0.000859186175439505,0.000783431403828975,"Gata3/Gata6/Hand1/Id2/Isl1/Smad7/Msx2/Tbx3/Heyl/Tbx20",10
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","11/242","81/10002",3.6079932862099e-06,0.00106946607709325,0.00097517084663989,"Gata3/Gata6/Hand1/Hand2/Id2/Isl1/Smad7/Msx2/Tbx3/Heyl/Tbx20",11
