"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051239","GO:0051239","regulation of multicellular organismal process","87/242","1826/13233",1.91054776811519e-18,6.61049527767855e-15,4.79446934651222e-15,"Dio3/Chrnb4/Chrna3/Tle6/Adra1a/Bmp7/Clu/Cobl/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata6/Gdf10/Hand2/Hhip/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Msx1/Msx2/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Pax9/Sct/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Tnni2/Tph1/Tshr/Wisp1/Wnt4/Wnt7a/Wt1/Cyp26b1/Grem1/Lrrtm4/Plxna4/Nfkbid/Shank1/Avpr1b/Amot/Lmcd1/Rnf207/Olig2/Irf7/Irx5/Heyl/Nupr1/Cacna2d2/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bcl9l/Sp6/Sytl2",87
"GO:0044707","GO:0044707","single-multicellular organism process","139/242","4079/13233",5.17502470520985e-18,8.95279274001305e-15,6.49329415643173e-15,"Unc5a/Unc5b/Dio3/Chrnb4/Cbr3/Bmp3/Chrna3/Slc8a3/Abca4/Dok4/Tle6/Adcyap1r1/Adh1/Adra1a/Alx3/Alx4/Aqp3/Barx1/Barx2/Bmp7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gng8/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Mbp/Mme/Msx1/Msx2/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Plcb2/Pnliprp2/Aldh1a2/Prrx2/Sct/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Adamts2/Tec/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Slc10a4/Cyp26b1/Apob/Grem1/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Amot/Lmcd1/Pkd2l1/Olig2/Irf7/Irx5/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bhlhe41/Bcl9l/Sp6/Sytl2/Wnt16",139
"GO:0032501","GO:0032501","multicellular organismal process","140/242","4177/13233",1.62919722575494e-17,1.87900746703736e-14,1.36280918814027e-14,"Unc5a/Unc5b/Dio3/Chrnb4/Cbr3/Bmp3/Chrna3/Slc8a3/Abca4/Dok4/Tle6/Adcyap1r1/Adh1/Adra1a/Alx3/Alx4/Aqp3/Barx1/Barx2/Bmp7/Cldn1/Clu/Cobl/Col9a1/Col1a1/Cux2/Dlx3/Dmpk/Ecm1/Nr2f1/Evx1/Evx2/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Gng8/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Lrrn1/Smad6/Smad7/Mbp/Mme/Msx1/Msx2/Myf5/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Ntsr1/Oprk1/Pax1/Pax8/Pax9/Plcb2/Pnliprp2/Aldh1a2/Prrx2/Sct/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Stox1/Agap2/Adamts2/Tec/Tmod1/Tnni2/Tph1/Trh/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Slc10a4/Cyp26b1/A2m/Apob/Grem1/Dusp5/Grin3a/Lrrtm4/Grip2/Plxna4/Nfkbid/Shank1/Olfm2/Avpr1b/Amot/Lmcd1/Pkd2l1/Olig2/Irf7/Irx5/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Smoc1/Rnf128/Bambi/Prdm16/Atoh8/Scara5/Fam101a/Bhlhe41/Bcl9l/Sp6/Sytl2/Wnt16",140
"GO:0009887","GO:0009887","organ morphogenesis","49/242","738/13233",1.70478043126547e-15,1.47463507304463e-12,1.06952540740444e-12,"Alx3/Alx4/Barx2/Bmp7/Col9a1/Col1a1/Dlx3/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Hand1/Hand2/Hhip/Hoxa13/Id1/Id2/Igfbp5/Isl1/Smad7/Msx1/Msx2/Myf5/Nkx3-1/Nog/Pax1/Pax8/Pax9/Aldh1a2/Prrx2/Snai2/Tbx2/Tbx3/Stox1/Tshr/Wnt4/Wnt7a/Wt1/Cyp26b1/Grem1/Irx5/Heyl/Tbx20/Fam101a/Sp6/Wnt16",49
"GO:0044700","GO:0044700","single organism signaling","118/242","3379/13233",4.00462438025005e-15,2.59158143576625e-12,1.87962584206472e-12,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Adcyap1r1/Adra1a/Arl4a/Barx1/Bmp7/Car7/Clu/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand2/Hhip/Hoxa13/Id1/Igfbp5/Il15/Isl1/Blnk/Syt12/Smad6/Smad7/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Arl5c/Tle2/Trh/Tshr/Wisp1/Wnt4/Wnt7a/Cyp26b1/Grem1/Rxfp3/Dusp5/Grin3a/Grip2/Plxna4/Nfkbid/Shank1/Avpr1b/Irf5/Amot/Lmcd1/Pkd2l1/Lgr6/Susd5/Grb14/Irf7/Rasa4/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Rab37/Smoc1/Sv2b/Rab32/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Rasgef1c/Bcl9l/Syt13/Sytl2/Wnt16",118
"GO:0023052","GO:0023052","signaling","118/242","3384/13233",4.49407185392991e-15,2.59158143576625e-12,1.87962584206472e-12,"Unc5a/Unc5b/Chrnb4/Bmp3/Chrna3/Dok4/Adcyap1r1/Adra1a/Arl4a/Barx1/Bmp7/Car7/Clu/Col1a1/Cux2/Dmpk/Ecm1/Nr2f1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gabre/Gata3/Gata4/Gata6/Gdf10/Gfra3/Gna14/Gng4/Gng8/Gpr50/Hand2/Hhip/Hoxa13/Id1/Igfbp5/Il15/Isl1/Blnk/Syt12/Smad6/Smad7/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Ntsr1/Oprk1/Pax8/Plcb2/Ptpru/Aldh1a2/Rasd1/Rgs5/Prrx2/Sct/Scg5/Slc1a3/Snai2/Baiap2l2/Cpeb3/Abcc8/Unc5d/Tbx2/Tbx3/Stox1/Agap2/Tec/Arl5c/Tle2/Trh/Tshr/Wisp1/Wnt4/Wnt7a/Cyp26b1/Grem1/Rxfp3/Dusp5/Grin3a/Grip2/Plxna4/Nfkbid/Shank1/Avpr1b/Irf5/Amot/Lmcd1/Pkd2l1/Lgr6/Susd5/Grb14/Irf7/Rasa4/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Rab37/Smoc1/Sv2b/Rab32/Bambi/Asb12/Prdm16/Atoh8/Zcchc12/Rasgef1c/Bcl9l/Syt13/Sytl2/Wnt16",118
"GO:0009888","GO:0009888","tissue development","66/242","1319/13233",1.11153200474093e-14,5.49414390914805e-12,3.98480045007878e-12,"Bmp3/Alx4/Barx1/Barx2/Bmp7/Cobl/Col9a1/Col1a1/Dlx3/Ecm1/Eya2/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Irx3/Isl1/Smad7/Msx1/Msx2/Myf5/Nkx3-1/Nog/Pax1/Pax8/Pax9/Aldh1a2/Prrx2/Snai2/Spp1/Tbx2/Tbx3/Stox1/Agap2/Tec/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Cyp26b1/Grem1/Dusp5/Irx5/Smad9/Heyl/Nupr1/Tbx20/Bambi/Atoh8/Fam101a/Bcl9l/Wnt16",66
"GO:0051094","GO:0051094","positive regulation of developmental process","53/242","902/13233",1.57942639995734e-14,6.83101917981548e-12,4.95441123355038e-12,"Dio3/Tle6/Bmp7/Clu/Cobl/Col1a1/Cux2/Ecm1/Fgfr3/Fgfr4/Gata3/Gata4/Gata6/Gdf10/Hand2/Id2/Il15/Irx3/Isl1/Lrrn1/Msx2/Myf5/Nbl1/Ngf/Nog/Pax8/Snai2/Cpeb3/Tbx2/Stox1/Agap2/Tph1/Tshr/Wisp1/Wnt4/Wnt7a/Wt1/Cyp26b1/Apob/Grem1/Lrrtm4/Shank1/Olfm2/Amot/Olig2/Smad9/Heyl/Cacna2d2/Tbx20/Bambi/Prdm16/Atoh8/Bcl9l",53
"GO:0042221","GO:0042221","response to chemical","84/242","2003/13233",2.12965441416427e-14,8.04466645300421e-12,5.83464704105934e-12,"Unc5a/Unc5b/Chrnb4/Chrna3/Slc8a3/Adh1/Adra1a/Aqp3/Bmp7/Clu/Col1a1/Cux2/Ecm1/Nr2f1/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gfra3/Gng8/Hhip/Hoxa13/Ibsp/Id1/Id2/Igfbp5/Isl1/Smad6/Smad7/Mbp/Mme/Msx1/Msx2/Nbl1/Ngf/Nkx3-1/Nog/Nptx1/Ntsr1/Oprk1/Pax8/Pax9/Plcb2/Aldh1a2/Slc1a3/Snai2/Baiap2l2/Spp1/Cpeb3/Abcc8/Unc5d/Stox1/Trh/Tshr/Wnt4/Wnt7a/Wt1/Slc30a10/Slc10a4/Apob/Grem1/Grin3a/Plxna4/Shank1/Avpr1b/Irf5/Amot/Pkd2l1/Grb14/Irf7/Rasa4/Smad9/Nupr1/Lgi1/Bambi/Prdm16/Zcchc12/Svip/Bcl9l/Wnt16",84
"GO:0030154","GO:0030154","cell differentiation","98/242","2575/13233",2.32504810780469e-14,8.04466645300421e-12,5.83464704105934e-12,"Unc5a/Unc5b/Bmp3/Chrna3/Slc8a3/Tle6/Adcyap1r1/Arl4a/Barx1/Barx2/Bmp7/Clu/Cobl/Col1a1/Cux2/Dlx3/Dmpk/Nr2f1/Evx1/Fgf15/Fgf4/Fgfr3/Fgfr4/Gata3/Gata4/Gata5/Gata6/Gdf10/Gfra3/Hand1/Hand2/Hhip/Hoxa13/Ibsp/Id1/Id2/Id3/Igfbp5/Il15/Irx3/Isl1/Smad6/Msx1/Msx2/Myf5/Nbl1/Ngf/Nog/Nptx1/Pax1/Pax8/Ptpru/Aldh1a2/Slc1a3/Snai2/Spp1/Cpeb3/Unc5d/Tbx2/Tbx3/Wfikkn1/Tec/Tmod1/Tph1/Tshr/Vtn/Wisp1/Wnt4/Wnt7a/Wt1/Prdm6/Cyp26b1/A2m/Apob/Grem1/Grin3a/Plxna4/Nfkbid/Shank1/Olfm2/Amot/Olig2/Irx5/Smad9/Heyl/Nupr1/Cacna2d2/Lgi1/Tbx20/Smoc1/Rab32/Bambi/Prdm16/Atoh8/Fam101a/Bhlhe41/Bcl9l/Wnt16",98
