,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006412,GO:0006412,translation,86/650,422/13263,7.7785199979897e-31,3.34009648713677e-27,3.08684425183381e-27,Cnot6/Mrpl41/Rpl31/Btg2/C1qbp/Eef1a1/Eif4g2/Enc1/Gnb2l1/Hars/Hnrnpl/Rpsa/Mvk/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Eif5a2/Tia1/Rpl13a/Abcf1/Cnot3/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Mrps23/Rpl23/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Eif3k/Rps9,86
GO:0043043,GO:0043043,peptide biosynthetic process,86/650,437/13263,1.13830431563031e-29,2.44393936565827e-26,2.25863540522435e-26,Cnot6/Mrpl41/Rpl31/Btg2/C1qbp/Eef1a1/Eif4g2/Enc1/Gnb2l1/Hars/Hnrnpl/Rpsa/Mvk/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Eif5a2/Tia1/Rpl13a/Abcf1/Cnot3/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Mrps23/Rpl23/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Eif3k/Rps9,86
GO:0006518,GO:0006518,peptide metabolic process,90/650,512/13263,3.19780207806963e-27,4.57712070774366e-24,4.23007502958684e-24,Cnot6/Mrpl41/Rpl31/Btg2/C1qbp/Eef1a1/Eif4g2/Enc1/Gnb2l1/Gpx1/Hars/Hnrnpl/Ide/Rpsa/Mvk/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Sod1/Eif5a2/Tia1/Rpl13a/Abcf1/Cnot3/Picalm/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Mrps23/Rpl23/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Eif3k/Rps9,90
GO:0043604,GO:0043604,amide biosynthetic process,87/650,493/13263,1.9258161329021e-26,2.0673636186704e-23,1.91061232132655e-23,Cnot6/Mrpl41/Rpl31/Btg2/C1qbp/Eef1a1/Eif4g2/Enc1/Gnb2l1/Hars/Hnrnpl/Rpsa/Mvk/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Eif5a2/Tia1/Rpl13a/Abcf1/Cnot3/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Mrps23/Rpl23/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Rps20/Samd8/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Eif3k/Rps9,87
GO:0043603,GO:0043603,cellular amide metabolic process,92/650,616/13263,1.63963592385801e-22,1.40811933140926e-19,1.30135314377783e-19,Cnot6/Mrpl41/Rpl31/Btg2/C1qbp/Eef1a1/Eif4g2/Enc1/Gnb2l1/Gpx1/Hars/Hnrnpl/Ide/Rpsa/Mvk/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Sod1/Eif5a2/Tia1/Rpl13a/Abcf1/Cnot3/Picalm/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Mrps23/Rpl23/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Rps20/Samd8/Rpl38/Mrpl24/Rpl4/Col4a3bp/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Eif3k/Rps9,92
GO:0034641,GO:0034641,cellular nitrogen compound metabolic process,326/650,4380/13263,1.65096561058695e-20,1.18154105531006e-17,1.091954447704e-17,Gadd45gip1/Imp3/Mbtd1/Xpo1/Rcor2/E2f4/Cnot6/Cggbp1/Wdr74/Lgr4/Snrpd2/Mrpl41/Gins4/Kif22/Rpl31/Parp2/Aebp2/Birc5/Atf4/Atp5k/Atp6v1a/Atpif1/Bax/Phb2/Bmp7/Bmpr1a/Btg2/C1qbp/Cdk11b/Cox5a/Creb1/Dbi/Dck/Eef1a1/Eif4g2/Enc1/Eno3/Erh/Fbl/Gnas/Gnb2l1/Gpx1/Emg1/Gtf2i/Trip12/Guk1/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hmox2/Hnrnpc/Hnrnpl/Prmt1/Trmt2a/Id1/Id3/Ide/Idh3g/Jund/Kin/Rpsa/Ldb1/Lrp6/Idh3b/Sumo2/Mbd3/Mcm7/Mdk/Mettl1/Mif/Mnat1/Mdh2/Commd1/Mvk/Naca/Nedd8/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Pdpk1/Prkci/Papola/Pold2/Psmc1/Psmc3ip/Psmc5/Purb/Rad17/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Snrnp70/Sod1/Sp3/Sp4/Ssrp1/Eif5a2/Asxl3/Taldo1/Tcf15/Tcf3/Vps72/Tead1/Tead2/Alyref/Terf1/Tia1/Btf3/Rpl13a/Txn1/Ube2i/Ube3a/Urod/Usp9x/Abcf1/Safb/Wac/Rbm27/Xrcc1/Zfp2/Ctdsp1/Exosc2/Dnajc2/Zcchc11/Sfswap/Bud31/Cnot3/Scaf1/Picalm/Smg1/Gtf2a2/Setd2/Smc1a/Taf10/Pgap1/Npat/Atr/Orc4/Psma6/Rpl27a/Rpl23a/Setx/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Mga/Siva1/Rpl17/Zfp653/Taf2/Sp8/Med13/Ep300/Mrpl21/Rc3h1/Ssbp1/Mirlet7d/Sall2/Orc3/Klf13/Nhp2/Eif3g/Cnot4/Rps28/Nfat5/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Mrpl12/Syncrip/Dynll1/Ruvbl1/Nme4/Pfdn5/Gsk3b/Mbnl1/Srsf4/Park7/Atp5j2/Gmnn/Noc2l/Rnf25/Edf1/Erbb2ip/Pcbp4/Kcnq1ot1/Zfp280b/Mrps23/Rpl23/Atp5d/Sdhc/Cwc15/Sf3b5/Elof1/Med11/1110037F02Rik/Ndufb9/Dmap1/Tsfm/Ndufa7/Dctpp1/Exosc7/Gtf2h5/Rps23/Rps21/Mrpl51/Drap1/Uqcrh/Stoml2/Eef1d/Zbed6/Mrpl33/Pbrm1/Rpl11/Polr3d/Rps6ka6/Rpl14/Ndufa13/Rplp2/Ndufa10/Snrpd3/Rps20/Mtpap/Uqcrb/Samd8/Rpl38/Lsm3/Mrpl24/Sfr1/Wdr83/Rpl4/Mphosph10/Snrpg/Col4a3bp/Rbm42/Rps13/Dcakd/Bcas2/Rpl24/Rnaseh2c/Ciz1/Mrpl13/Mrps18a/Ict1/Mrpl28/Pih1d1/Snrpa1/Scnm1/Aarsd1/Rnaseh2a/Gemin7/Polr2f/Polr2i/Dazap1/Gtpbp3/Atad2/Dcp2/Mier1/Sfpq/Atp5h/Dhx36/Exosc6/Ints8/Zfp518a/Zkscan3/Ndufv2/Eif3k/Nudt9/Polr3c/Tnks2/Rrp7a/Sf3a3/Zmym2/Rps9/Rbm17/Arid2/H2afv/Ascc3/Cdk5rap3/Srrt/Phip/Maged1/Hmgb2/Gtf2f1/Sall4,326
GO:1901566,GO:1901566,organonitrogen compound biosynthetic process,107/650,851/13263,3.60266391836109e-20,2.2099769807775e-17,2.04241247702576e-17,Cnot6/Mrpl41/Rpl31/Atp5k/Atpif1/Btg2/C1qbp/Ccnd3/Eef1a1/Eif4g2/Enc1/Erh/Gls/Gnas/Gnb2l1/Guk1/Hars/Hnrnpl/Rpsa/Mvk/Nme1/Nme2/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Eif5a2/Tia1/Rpl13a/Urod/Abcf1/Cnot3/Phgdh/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Atp5o/Rpl17/Ep300/Mrpl21/Eif3g/Rps28/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Nme4/Park7/Atp5j2/Mrps23/Rpl23/Atp5d/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Stoml2/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Cltc/Rps20/Samd8/Rpl38/Mrpl24/Rpl4/Rps13/Dcakd/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Atp5h/Eif3k/Rps9,107
GO:0006807,GO:0006807,nitrogen compound metabolic process,335/650,4577/13263,4.91118439178329e-20,2.63607822228968e-17,2.43620594171355e-17,Gadd45gip1/Imp3/Mbtd1/Xpo1/Rcor2/E2f4/Cnot6/Cggbp1/Wdr74/Lgr4/Snrpd2/Mrpl41/Gins4/Kif22/Rpl31/Parp2/Aebp2/Birc5/Atf4/Atp5k/Atp6v1a/Atpif1/Bax/Phb2/Bmp7/Bmpr1a/Btg2/C1qbp/Ccnd3/Cdk11b/Cox5a/Creb1/Dbi/Dck/Eef1a1/Eif4g2/Enc1/Eno3/Erh/Fbl/Gls/Gnas/Gnb2l1/Gpx1/Emg1/Gtf2i/Trip12/Guk1/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hmox2/Hnrnpc/Hnrnpl/Prmt1/Trmt2a/Id1/Id3/Ide/Idh3g/Jund/Kin/Rpsa/Ldb1/Lrp6/Idh3b/Sumo2/Mbd3/Mcm7/Mdk/Mettl1/Mif/Mnat1/Mdh2/Commd1/Mvk/Naca/Nedd8/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Pdpk1/Prkci/Papola/Pold2/Prkcsh/Psmc1/Psmc3ip/Psmc5/Purb/Rad17/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Snrnp70/Sod1/Sp3/Sp4/Ssrp1/Eif5a2/Asxl3/Taldo1/Tcf15/Tcf3/Vps72/Tead1/Tead2/Alyref/Terf1/Tia1/Btf3/Rpl13a/Txn1/Ube2i/Ube3a/Urod/Usp9x/Abcf1/Safb/Wac/Rbm27/Xrcc1/Zfp2/Ctdsp1/Exosc2/Dnajc2/Zcchc11/Sfswap/Bud31/Cnot3/Scaf1/Picalm/Smg1/Gtf2a2/Setd2/Phgdh/Smc1a/Taf10/Pgap1/Impad1/Npat/Atr/Mpst/Orc4/Psma6/Rpl27a/Rpl23a/Setx/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Mga/Siva1/Rpl17/Zfp653/Dsel/Taf2/Sp8/Med13/Ep300/Mrpl21/Rc3h1/Ssbp1/Mirlet7d/Sall2/Orc3/Klf13/Ddah2/Nhp2/Eif3g/Cnot4/Rps28/Nfat5/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Mrpl12/Syncrip/Dynll1/Ruvbl1/Nme4/Pfdn5/Gsk3b/Mbnl1/Srsf4/Park7/Atp5j2/Gmnn/Noc2l/Rnf25/Edf1/Erbb2ip/Pcbp4/Kcnq1ot1/Zfp280b/Mrps23/Rpl23/Atp5d/Sdhc/Cwc15/Sf3b5/Elof1/Med11/1110037F02Rik/Ndufb9/Dmap1/Tsfm/Ndufa7/Dctpp1/Exosc7/Gtf2h5/Rps23/Rps21/Mrpl51/Drap1/Uqcrh/Stoml2/Eef1d/Zbed6/Mrpl33/Pbrm1/Rpl11/Polr3d/Rps6ka6/Rpl14/Ndufa13/Rplp2/Ndufa10/Cltc/Snrpd3/Rps20/Mtpap/Uqcrb/Samd8/Rpl38/Lsm3/Mrpl24/Sfr1/Wdr83/Rpl4/Mphosph10/Snrpg/Col4a3bp/Rbm42/Rps13/Dcakd/Bcas2/Rpl24/Rnaseh2c/Ciz1/Mrpl13/Mrps18a/Ict1/Mrpl28/Pih1d1/Snrpa1/Scnm1/Aarsd1/Rnaseh2a/Gemin7/Polr2f/Polr2i/Dazap1/Gtpbp3/Atad2/Dcp2/Mier1/Sfpq/Atp5h/Dhx36/Exosc6/Ints8/Zfp518a/Zkscan3/Ndufv2/Eif3k/Nudt9/Polr3c/Tnks2/Rrp7a/Sf3a3/Zmym2/Rps9/Rbm17/Arid2/H2afv/Ascc3/Cdk5rap3/Srrt/Phip/Maged1/Hmgb2/Gtf2f1/Sall4,335
GO:0044260,GO:0044260,cellular macromolecule metabolic process,393/650,5726/13263,8.16934447008144e-20,3.89768501716997e-17,3.60215539791895e-17,Unc45a/Dohh/Imp3/Mbtd1/Xpo1/Rcor2/E2f4/Cnot6/Cggbp1/Wdr74/Lgr4/Snrpd2/Mrpl41/Cdc20/Gins4/Braf/Kif22/Rpl31/Spred1/Parp2/Aebp2/Necab2/Xiap/Birc5/Atf4/Atpif1/Bak1/Bax/Phb2/Bcl2l11/Bmp7/Bmpr1a/Birc6/Btg2/Bub1/C1qbp/Ccnd3/Cct5/Cdk11b/Cdc37/Cfl1/Creb1/Vcan/Eef1a1/Eif4g2/Enc1/Fbl/Fkbp2/Gnas/Gnb2l1/Gpx1/Emg1/Gtf2i/Trip12/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hnrnpc/Hnrnpl/Prmt1/Hspe1/Trmt2a/Id1/Id3/Ide/Jund/Kin/Rpsa/Ldb1/Lrp6/Sumo2/Mbd3/Mcm7/Mdk/Mettl1/Mif/Mnat1/Mdh2/Commd1/Usp34/Mvk/Naca/Nedd8/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Pdpk1/Piga/Pik3c2a/Prkci/Lypla1/Papola/Pold2/Prkcsh/Psma2/Psmb5/Psmb6/Psmb7/Psmc1/Psmc3ip/Psmc5/Edem1/Ptp4a3/Purb/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Snrnp70/Sod1/Sp3/Sp4/Ssrp1/Stk11/Eif5a2/Arfgef1/Asxl3/Tcf15/Tcf3/Vps72/Cdc34/Tead1/Tead2/Alyref/Cdc27/Terf1/G2e3/Tia1/Btf3/Rpl13a/Psmd3/Txn1/Ube2m/Ube2i/Ube3a/Usp9x/Abcf1/Safb/Wac/Rbm27/Xrcc1/Zfp2/Ctdsp1/Exosc2/Dnajc2/Zcchc11/Uba6/Sfswap/Bud31/Wnk1/Cnot3/Ppp1r37/Scaf1/Picalm/Smg1/Gtf2a2/Setd2/Osbpl8/Smc1a/Taf10/Pgap1/Impad1/Npat/Atr/Rfwd2/Map2k2/Orc4/Psma4/Psma6/Psma7/Psmb2/Rpl27a/Rpl23a/Cops6/Setx/Rpl12/Rpl8/Aak1/Rpl13/Rps3/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Mga/Tor1a/Siva1/Rpl17/Zfp653/Rc3h2/Dsel/Taf2/Sp8/Med13/Ep300/Abi2/Ctdspl2/Mrpl21/Rc3h1/Ssbp1/Nsfl1c/Mirlet7d/Sall2/Orc3/Klf13/Nus1/Nhp2/Sgta/Eif3g/Cnot4/Uevld/Rps28/Nfat5/Ubqln2/Ccdc22/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Mrpl12/Naa10/Pdcd5/Syncrip/Dynll1/Ruvbl1/Txn2/Pfdn5/Gsk3b/Mbnl1/Srsf4/Park7/Gmnn/Noc2l/Rnf25/Trpm7/Edf1/Erbb2ip/Pcbp4/Kcnq1ot1/Zfp280b/Mrps23/Rpl23/Krtcap2/Cwc15/Aurkaip1/Sf3b5/Elof1/Anapc11/Med11/1110037F02Rik/Dmap1/Tsfm/Psmd6/Ndufa7/Fis1/Cdc26/Exosc7/Gtf2h5/Rps23/Rps21/Mrpl51/Drap1/Stoml2/Eef1d/Zbed6/Prkrip1/Mrpl33/Vps28/Pbrm1/Trim59/Rpl11/Polr3d/Rps6ka6/Rpl14/Ndufa13/Rplp2/Pfdn1/Cltc/Snrpd3/Erp29/Rps20/Mtpap/Pigm/Akt1s1/Rpl38/Lsm3/Mrpl24/Sfr1/Wdr83/Atg3/Rpl4/Mphosph10/Snrpg/Rbm42/Rps13/Dusp19/Bcas2/Rpl24/Rnaseh2c/Ciz1/Mrpl13/Mrps18a/Ict1/Mrpl28/Ube2c/Smek1/Pih1d1/Snrpa1/Anapc13/Scnm1/Aarsd1/Rnaseh2a/Gemin7/Polr2f/Polr2i/Fam162a/Dazap1/Ndufab1/Gtpbp3/Atad2/Pak4/Dcp2/Mier1/Sfpq/Naa50/Dhx36/Tmem55a/Exosc6/Ints8/Zfp518a/Zkscan3/Eif3k/Otud4/Lonp1/Polr3c/Tnks2/Rrp7a/Usp38/Sf3a3/Phpt1/Zmym2/Ppp1r11/Rps9/Rbm17/Arid2/Agl/H2afv/Ube2s/Ascc3/Cdk5rap3/Srrt/Phip/Csnk1a1/Maged1/Hmgb2/Gtf2f1/Sall4,393
GO:1901564,GO:1901564,organonitrogen compound metabolic process,138/650,1335/13263,3.48352350419314e-18,1.49582499270053e-15,1.3824088011377e-15,Gadd45gip1/Cnot6/Mrpl41/Rpl31/Atp5k/Atp6v1a/Atpif1/Bax/Btg2/C1qbp/Ccnd3/Cox5a/Dbi/Dck/Eef1a1/Eif4g2/Enc1/Eno3/Erh/Gls/Gnas/Gnb2l1/Gpx1/Guk1/Hars/Hint1/Hmox2/Hnrnpl/Ide/Idh3g/Rpsa/Idh3b/Mif/Mdh2/Mvk/Nme1/Nme2/Npm1/Purb/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps8/Sars/Sod1/Eif5a2/Taldo1/Tia1/Rpl13a/Urod/Abcf1/Cnot3/Picalm/Phgdh/Impad1/Mpst/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rps11/Mrpl39/Mrpl17/Mrpl2/Atp5o/Rpl17/Dsel/Ep300/Mrpl21/Ddah2/Eif3g/Rps28/Prdx5/Eif3i/Eif3d/Eef1b2/Mrpl12/Syncrip/Nme4/Park7/Atp5j2/Mrps23/Rpl23/Atp5d/Sdhc/Ndufb9/Tsfm/Ndufa7/Rps23/Rps21/Mrpl51/Uqcrh/Stoml2/Eef1d/Mrpl33/Rpl11/Rps6ka6/Rpl14/Rplp2/Ndufa10/Cltc/Rps20/Uqcrb/Samd8/Rpl38/Mrpl24/Rpl4/Col4a3bp/Rps13/Dcakd/Rpl24/Mrpl13/Mrps18a/Ict1/Mrpl28/Aarsd1/Atp5h/Ndufv2/Eif3k/Nudt9/Rps9,138
