,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005840,GO:0005840,ribosome,77/660,188/13263,4.13120357135395e-51,2.40022927495664e-48,1.86121592477841e-48,Gadd45gip1/Mrpl41/Mrpl30/Rpl31/Rplp0/Fau/Gnb2l1/Rpsa/Npm1/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Abcf1/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl17/Mrpl2/Rpl17/Mrpl21/Rps28/Mrpl12/Naa10/Mrps23/Rpl23/Mrpl54/Ndufa7/Rps23/Rps21/Rpl35/Mrpl51/Mrpl33/Rpl11/Rps10/Rpl14/Rplp2/Mrpl42/Rpl37/Rps20/Rpl38/Mrpl24/Rpl4/Rps13/Rpl24/Mrpl53/Mrpl13/Mrps18a/Ict1/Mrpl28/Rps25/Rps9,77
GO:0022626,GO:0022626,cytosolic ribosome,53/660,80/13263,4.94850017092316e-50,1.43753929965318e-47,1.1147147753448e-47,Rpl31/Rplp0/Fau/Rpsa/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Rpl27a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Rpl17/Rps28/Naa10/Rpl23/Rps23/Rps21/Rpl35/Rpl11/Rps10/Rpl14/Rplp2/Rpl37/Rps20/Rpl38/Rpl4/Rps13/Rpl24/Rps25/Rps9,53
GO:0044391,GO:0044391,ribosomal subunit,64/660,131/13263,1.7100309936877e-48,3.31176002444184e-46,2.56804654490644e-46,Mrpl41/Rpl31/Rplp0/Fau/Gnb2l1/Rpsa/Npm1/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Rpl27a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl17/Mrpl2/Rpl17/Rps28/Mrpl12/Mrps23/Rpl23/Rps23/Rps21/Rpl35/Mrpl33/Rpl11/Rps10/Rpl14/Rplp2/Mrpl42/Rpl37/Rps20/Rpl38/Rpl4/Rps13/Rpl24/Mrpl13/Mrps18a/Ict1/Rps25/Rps9,64
GO:0030529,GO:0030529,ribonucleoprotein complex,123/660,606/13263,1.70074798327418e-43,2.47033644570575e-41,1.91557930747724e-41,Gadd45gip1/Imp3/Xpo1/Snrpd2/Mrpl41/Mrpl30/Rpl31/Rplp0/Fau/Fbl/Gnb2l1/Emg1/Hnrnpc/Hnrnpl/Rpsa/Npm1/Psma2/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Sart1/Snrnp70/Srp14/Trove2/Arfgef1/Alyref/Srp68/Tia1/Rpl13a/Abcf1/Wac/Bud31/Cnot3/Fus/Psma4/Psma6/Rpl27a/Rpl23a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Rpl17/Mrpl21/Rc3h1/Nhp2/Rps28/Ptbp2/Mrpl12/Naa10/Syncrip/Ruvbl1/Gsk3b/Mbnl1/Pcbp4/Mrps23/Rpl23/Mrpl54/Cwc15/Sf3b5/Ndufa7/Rps23/Rps21/Rpl35/Mrpl51/Mrpl33/Rpl11/Rps10/Rpl14/Rplp2/Mrpl42/Rpl37/Snrpd3/Rps20/Rpl38/Lsm3/Mrpl24/Wdr83/Rpl4/Mphosph10/Snrpg/Rps13/Bcas2/Rpl24/Mrpl53/Mrpl13/Mrps18a/Ict1/Mrpl28/Pih1d1/Snrpa1/Dcp2/Rrp7a/Sf3a3/Rps25/Rps9/Rbm17/Csnk1a1,123
GO:0044445,GO:0044445,cytosolic part,60/660,163/13263,1.01095961248578e-36,1.17473506970848e-34,9.10927819250347e-35,Rpl31/Rplp0/Cct5/Eno3/Fau/Ide/Rpsa/Psmc1/Psmc5/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Rpl13a/Rpl27a/Rpl12/Rpl8/Rpl13/Rps3/Rpl7a/Rps11/Rps26/Rpl17/A230046K03Rik/Rps28/Naa10/Rpl23/Rps23/Rps21/Rpl35/Rpl11/Rps10/Rpl14/Rplp2/Rpl37/Rps20/Rpl38/Rpl4/Rps13/Rpl24/Rps25/Rps9/Dtnbp1,60
GO:0044446,GO:0044446,intracellular organelle part,403/660,5007/13263,1.49754157837098e-35,1.45011942838923e-33,1.12446981674172e-33,Unc45a/Gadd45gip1/Imp3/Xpo1/Gas8/Rcor2/E2f4/0610010K14Rik/Cggbp1/Trip10/Wdr74/Snrpd2/Mrpl41/Mrpl30/Cdc20/Ciapin1/Gins4/Kif22/Cox6b1/Dync2h1/Sec13/Etfb/Rpl31/Spred1/Parp2/Aebp2/Slc25a4/Birc5/Rplp0/Atf4/Atp5k/Atp6v1a/Atpif1/Bak1/Bax/Phb2/Bcl2l11/Birc6/Bub1/C1qbp/Ccnb2/Cct5/Cdk11b/Cfl1/Cnn2/Copa/Cox4i1/Cox5a/Cox6a1/Cox7c/Cpd/Creb1/Dpysl2/Cxadr/Dad1/Dbi/Eef1a1/Enc1/Fscn1/Fau/Fbl/Fkbp2/Foxn2/Gls/Gnas/Gnb2l1/Emg1/Gtf2i/Trip12/Slc39a7/Hdgfrp2/Hint1/Hipk3/Hnrnpc/Hspe1/Id1/Id3/Ide/Idh3g/Cep250/Jund/Kin/Stmn1/Rpsa/Ldb1/Sumo2/Mbd3/Mcm7/Mettl1/Mif/Mnat1/Mns1/Mdh2/Commd1/Myl6/Ndufa2/Ndufv1/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Nudc/Slc25a3/Piga/Prkci/Papola/Pold2/Prkcsh/Psmb5/Psmb6/Psmb7/Psmc1/Psmc5/Edem1/Slc25a36/Purb/Rab5c/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Sart1/Sdf4/Slc4a1ap/Snrnp70/Sod1/Sort1/Sp3/Sp4/Srp14/Trove2/Eif5a2/Arfgef1/Tcf3/Cdc34/Tead1/Alyref/Cdc27/Srp68/Terf1/Tia1/Timm17b/Rpl13a/Psmd3/Tuba1b/Ube2i/Uqcrq/Urod/Bnip1/Abcf1/Safb/2410015M20Rik/Wac/Rbm27/Xrcc1/Ndufs2/D2Wsu81e/BC005624/Exosc2/Dnajc2/Zcchc11/Bud31/Picalm/Gtf2a2/Osbpl8/Cfdp1/Lnpep/Ik/Smc1a/Taf10/Npat/Atr/Vps54/Mpst/Rfwd2/Map2k2/Orc4/Psma6/Psmb2/Rpl27a/Cops6/Setx/Rpl12/Rpl8/Idh2/Rpl13/Rps3/Rpl7a/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Nop16/Dhrs4/Mga/Timm13/Tor1a/Siva1/Rpl17/A230046K03Rik/Rc3h2/Taf2/Med13/Ep300/Alg10b/Ssbp1/Nsfl1c/Ndufs6/Sall2/Orc3/Ddah2/Rif1/Nus1/Cdca8/Nhp2/Esyt2/Timm23/Vti1b/Rab11a/Rps28/Prdx5/Ptbp2/Actr8/Mrpl12/Naa10/Fam60a/Arl2/Arl3/Arpc3/Letm1/Syncrip/Dynll1/Ruvbl1/Txn2/Gsk3b/Mbnl1/Srsf4/Park7/Atp5j2/Noc2l/Bin3/Fibp/Trpm7/Rab2a/Edf1/Cope/Erbb2ip/Myg1/Mrps23/Rpl23/Atp5d/Sdhc/Krtcap2/Cwc15/Aurkaip1/Tomm6/Sf3b5/Anapc11/Tomm7/Med11/Ndufb9/Dmap1/Ndufc1/Slmo2/Nosip/Tsfm/Ndufa12/Ndufa7/Fis1/Cdc26/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Mrpl51/Ndufb3/Rps19bp1/Uqcrh/Stoml2/Eef1d/Zbed6/Prkrip1/Mrpl33/Appbp2/Vps28/Pbrm1/Cisd2/Rpl11/Polr3d/Romo1/Rps6ka6/Rps10/Rpl14/Ndufa13/Rplp2/Rrp15/Mrpl42/Ndufa10/Rpl37/Cltc/Snrpd3/Erp29/Pdlim7/Rps20/Uqcrb/Samd8/Rpl38/Lsm3/Zmym4/Sfr1/Wdr83/Rpl4/Mphosph10/Snrpg/Col4a3bp/Rps13/Gltscr2/Bcas2/Rpl24/Ndufa5/Ndufb10/Ssna1/Mrpl13/Mrps18a/Ict1/Mrpl28/Ube2c/Snrpa1/Anapc13/Scnm1/Lnp/Gemin7/Polr2f/Polr2i/Ndufab1/Atad2/Dcp2/Mier1/Sfpq/Atp5h/Ranbp3/Tmem106b/Mzt2/Dhx36/Tmem55a/Ints8/Ndufv2/Kif2c/Lonp1/Polr3c/Tnks2/Rrp7a/Sf3a3/Ndufs7/Ndufaf2/Rps25/Zmym2/Ift46/Rps9/Rbm17/Arid2/Agl/H2afv/Ube2s/Cdk5rap3/Srrt/Csnk1a1/Dtnbp1/Maged1/Hmgb2/Nol12/Lbr/Sall4,403
GO:0044422,GO:0044422,organelle part,405/660,5139/13263,1.83626790711521e-33,1.52410236290562e-31,1.18183859285009e-31,Unc45a/Gadd45gip1/Imp3/Pls3/Xpo1/Gas8/Rcor2/E2f4/0610010K14Rik/Cggbp1/Trip10/Wdr74/Snrpd2/Mrpl41/Mrpl30/Cdc20/Ciapin1/Gins4/Kif22/Cox6b1/Dync2h1/Sec13/Etfb/Rpl31/Spred1/Parp2/Aebp2/Slc25a4/Birc5/Rplp0/Atf4/Atp5k/Atp6v1a/Atpif1/Bak1/Bax/Phb2/Bcl2l11/Birc6/Bub1/C1qbp/Ccnb2/Cct5/Cdk11b/Cfl1/Cnn2/Copa/Cox4i1/Cox5a/Cox6a1/Cox7c/Cpd/Creb1/Dpysl2/Cxadr/Dad1/Dbi/Eef1a1/Enc1/Fscn1/Fau/Fbl/Fkbp2/Foxn2/Gls/Gnas/Gnb2l1/Emg1/Gtf2i/Trip12/Slc39a7/Hdgfrp2/Hint1/Hipk3/Hnrnpc/Hspe1/Id1/Id3/Ide/Idh3g/Cep250/Jund/Kin/Stmn1/Rpsa/Ldb1/Sumo2/Mbd3/Mcm7/Mettl1/Mif/Mnat1/Mns1/Mdh2/Commd1/Myl6/Ndufa2/Ndufv1/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Nudc/Slc25a3/Piga/Prkci/Papola/Pold2/Prkcsh/Psmb5/Psmb6/Psmb7/Psmc1/Psmc5/Edem1/Slc25a36/Purb/Rab5c/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Sart1/Sdf4/Slc4a1ap/Snrnp70/Sod1/Sort1/Sp3/Sp4/Srp14/Trove2/Eif5a2/Arfgef1/Tcf3/Cdc34/Tead1/Alyref/Cdc27/Srp68/Terf1/Tia1/Timm17b/Slc4a7/Rpl13a/Psmd3/Tuba1b/Ube2i/Uqcrq/Urod/Bnip1/Abcf1/Safb/2410015M20Rik/Wac/Rbm27/Xrcc1/Ndufs2/D2Wsu81e/BC005624/Exosc2/Dnajc2/Zcchc11/Bud31/Picalm/Gtf2a2/Osbpl8/Cfdp1/Lnpep/Ik/Smc1a/Taf10/Npat/Atr/Vps54/Mpst/Rfwd2/Map2k2/Orc4/Psma6/Psmb2/Rpl27a/Cops6/Setx/Rpl12/Rpl8/Idh2/Rpl13/Rps3/Rpl7a/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Nop16/Dhrs4/Mga/Timm13/Tor1a/Siva1/Rpl17/A230046K03Rik/Rc3h2/Taf2/Med13/Ep300/Alg10b/Ssbp1/Nsfl1c/Ndufs6/Sall2/Orc3/Ddah2/Rif1/Nus1/Cdca8/Nhp2/Esyt2/Timm23/Vti1b/Rab11a/Rps28/Prdx5/Ptbp2/Actr8/Mrpl12/Naa10/Fam60a/Arl2/Arl3/Arpc3/Letm1/Syncrip/Dynll1/Ruvbl1/Txn2/Gsk3b/Mbnl1/Srsf4/Park7/Atp5j2/Noc2l/Bin3/Fibp/Trpm7/Rab2a/Edf1/Cope/Erbb2ip/Myg1/Mrps23/Rpl23/Atp5d/Sdhc/Krtcap2/Cwc15/Aurkaip1/Tomm6/Sf3b5/Anapc11/Tomm7/Med11/Ndufb9/Dmap1/Ndufc1/Slmo2/Nosip/Tsfm/Ndufa12/Ndufa7/Fis1/Cdc26/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Mrpl51/Ndufb3/Rps19bp1/Uqcrh/Stoml2/Eef1d/Zbed6/Prkrip1/Mrpl33/Appbp2/Vps28/Pbrm1/Cisd2/Rpl11/Polr3d/Romo1/Rps6ka6/Rps10/Rpl14/Ndufa13/Rplp2/Rrp15/Mrpl42/Ndufa10/Rpl37/Cltc/Snrpd3/Erp29/Pdlim7/Rps20/Uqcrb/Samd8/Rpl38/Lsm3/Zmym4/Sfr1/Wdr83/Rpl4/Mphosph10/Snrpg/Col4a3bp/Rps13/Gltscr2/Bcas2/Rpl24/Ndufa5/Ndufb10/Ssna1/Mrpl13/Mrps18a/Ict1/Mrpl28/Ube2c/Snrpa1/Anapc13/Scnm1/Lnp/Gemin7/Polr2f/Polr2i/Ndufab1/Atad2/Dcp2/Mier1/Sfpq/Atp5h/Ranbp3/Tmem106b/Mzt2/Dhx36/Tmem55a/Ints8/Ndufv2/Kif2c/Lonp1/Polr3c/Tnks2/Rrp7a/Sf3a3/Ndufs7/Ndufaf2/Rps25/Zmym2/Ift46/Rps9/Rbm17/Arid2/Agl/H2afv/Ube2s/Cdk5rap3/Srrt/Csnk1a1/Dtnbp1/Maged1/Hmgb2/Nol12/Lbr/Sall4,405
GO:0032991,GO:0032991,macromolecular complex,334/660,3835/13263,2.1522240260967e-33,1.56305269895273e-31,1.21204195153867e-31,Gadd45gip1/Imp3/Xpo1/Gas8/Rcor2/E2f4/0610010K14Rik/Cnot6/Trip10/Snrpd2/Mrpl41/Mrpl30/Cdc20/Gins4/Kif22/Dync2h1/Sec13/Etfb/Rpl31/Aebp2/Xiap/Birc5/Rplp0/Atf4/Atp5k/Atp6v1a/Atpif1/Bak1/Bax/Phb2/Bcl2l11/Bub1/Ccnd3/Cct5/Cdc37/Copa/Cox5a/Cox6a1/Creb1/Dpysl2/Cxadr/Dad1/Eif4g2/Enc1/Eno3/Fscn1/Fau/Fbl/Ftl1/Gnas/Gnb2l1/Emg1/Hint1/Hnrnpc/Hnrnpl/Prmt1/Ide/Cep250/Jund/Stmn1/Rpsa/Ldb1/Lrp6/Mbd3/Mcm7/Mettl1/Mnat1/Mns1/Commd1/Myl6/Ndufa2/Ndufv1/Nme1/Nme2/Npm1/Nsd1/Nudc/Piga/Pik3c2a/Prkci/Pold2/Prkcsh/Psma2/Psmb5/Psmb6/Psmb7/Psmc1/Psmc5/Purb/Rab7/Rad17/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Sart1/Snrnp70/Sod1/Sp3/Srp14/Trove2/Stip1/Stk11/Arfgef1/Tcf3/Vps72/Tead1/Tead2/Alyref/Cdc27/Srp68/Terf1/Tia1/Timm17b/Rpl13a/Psmd3/Tuba1b/Ube2i/Ube3a/Bnip1/Abcf1/2410015M20Rik/Wac/Ndufs2/D2Wsu81e/Exosc2/Bud31/Cnot3/Picalm/Fus/Gtf2a2/Cfdp1/Smc1a/Taf10/Vps54/Map2k2/Orc4/Psma4/Psma6/Psma7/Psmb2/Rpl27a/Rpl23a/Cops6/Rpl12/Rpl8/Aak1/Rpl13/Rps3/Rpl7a/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Mga/Rpl17/A230046K03Rik/Taf2/Med13/Ep300/Abi2/Mrpl21/Rc3h1/Nsfl1c/Ndufs6/Sall2/Orc3/Nckap1/Cdca8/Nhp2/Eif3g/Timm23/Vti1b/Cnot4/Rab11a/Rps28/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Mrpl12/Naa10/Fam60a/Arl3/Arpc3/Syncrip/Dynll1/Ruvbl1/Pfdn5/Gsk3b/Mbnl1/Park7/Atp5j2/Bin3/Edf1/Cope/Pcbp4/Mrps23/Rpl23/Atp5d/Mrpl54/Sdhc/Krtcap2/Cwc15/Tomm6/Sf3b5/Anapc11/Tomm7/Med11/1110037F02Rik/Ndufb9/Dmap1/Ndufc1/Psmd6/Ndufa12/Ndufa7/Fis1/Cdc26/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Mrpl51/Ndufb3/Uqcrh/Stoml2/Eef1d/Mrpl33/Appbp2/Vps28/Pbrm1/Cisd2/Rpl11/Polr3d/Rps10/Rpl14/Ndufa13/Rplp2/Pfdn1/Mrpl42/Ndufa10/Rpl37/Cltc/Snrpd3/Rps20/Uqcrb/Akt1s1/Rpl38/Lsm3/Mrpl24/Sfr1/Wdr83/Atg3/Rpl4/Mphosph10/Snrpg/Rps13/Bcas2/Rpl24/Ndufa5/Rnaseh2c/Ndufb10/Mrpl53/Mrpl13/Mrps18a/Ict1/Mrpl28/Ube2c/Smek1/Pih1d1/Chmp2a/Snrpa1/Anapc13/Rnaseh2a/Gemin7/Polr2f/Polr2i/Ndufab1/Dcp2/Mier1/Sfpq/Atp5h/Naa50/Exosc6/Ints8/Ndufv2/Kif2c/Eif3k/Polr3c/Rrp7a/Sf3a3/Ndufs7/Rps25/Ppp1r11/Ift46/Rps9/Rbm17/Arid2/H2afv/Ube2s/Cdk5rap3/Csnk1a1/Dtnbp1/Maged1/Hmgb2/Sall4,334
GO:0005622,GO:0005622,intracellular,601/660,9763/13263,8.22464289799509e-31,5.30946391526127e-29,4.11713118168643e-29,Unc45a/Gadd45gip1/Imp3/Pls3/Nudt10/Mbtd1/Xpo1/Gas8/Rcor2/E2f4/0610010K14Rik/Cnot6/Cggbp1/Trip10/Wdr74/Snrpd2/Mrpl41/Mrpl30/Cdc20/Dnajc9/Ciapin1/Gins4/Braf/Kif22/Cox6b1/Dync2h1/Sec13/Etfb/Aco2/Rpl31/Spred1/Parp2/Aebp2/Aldh2/Necab2/Slc25a4/Xiap/Birc5/Rplp0/Arhgap5/Atf4/Atp5k/Atp6v1a/Atpif1/Bak1/Bax/Phb2/Bcl2l11/Birc6/Bub1/C1qbp/Cbr1/Ccnb2/Ccnd3/Ccng1/Cct5/Cdk11b/Cdc37/Cfl1/Cnn2/Copa/Cox4i1/Cox5a/Cox6a1/Cox7c/Cpd/Creb1/Dpysl2/Vcan/Csrp2/Cxadr/Dad1/Dbi/Dck/Ddt/Eef1a1/Eif4g2/Enc1/Eno3/Fscn1/Fau/Fbl/Fdft1/Fkbp2/Foxn2/Fth1/Ftl1/Fzd3/Ostm1/Gls/Gnas/Gnb2l1/Gpx1/Emg1/Gtf2i/Trip12/Guk1/Slc39a7/Hars/Hdgfrp2/Hint1/Hipk3/Hmgb3/Hmox2/Hnrnpc/Hnrnpl/Agfg1/Prmt1/Hspe1/Id1/Id3/Ide/Idh3g/Igfbp2/Cep250/Jund/Kin/Kpna3/Kpna4/Stmn1/Rpsa/Ldb1/Lgals1/Lrp6/Idh3b/Glcci1/Sumo2/Mbd3/Mcm7/Mdk/Mea1/Mettl1/Mif/Mnat1/Mns1/Mdh2/Commd1/Usp34/Mvk/Myl6/Naca/Ndufa2/Ndufv1/Nedd8/Nfatc3/Nme1/Nme2/Npm1/Nsd1/Nudc/Pdpk1/Slc25a3/Piga/Pik3c2a/Prkci/Lypla1/Papola/Ppp1r14b/Pold2/Prkcsh/Cyth2/Psma2/Psmb5/Psmb6/Psmb7/Psmc1/Psmc3ip/Psmc5/Edem1/Slc25a36/Tmsb10/Ptn/Ptp4a3/Arhgdia/Purb/Rab5c/Rab7/Rad17/Ranbp2/Dpf2/Rfc2/Rfx3/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl29/Rpl32/Rpl37a/Rpl6/Rpl9/Polr1d/Rps12/Rps15/Rps17/Rps18/Rps19/Rps24/Rps29/Rps5/Rps6/Rps8/Prrx2/Sars/Sart1/Sdf4/Slc4a1ap/Snrnp70/Sod1/Sort1/Sos1/Sp3/Sp4/Srp14/Trove2/Ssrp1/Stip1/Stk11/Eif5a2/Arfgef1/Plekhh1/Asxl3/Fam126b/Taldo1/Tcf15/Tcf3/Vps72/Cdc34/Tead1/Tead2/Alyref/Spag7/Cdc27/Srp68/Terf1/G2e3/Ahsa1/Tia1/Btf3/Fcho2/Timm17b/Slc4a7/Rpl13a/Psmd3/Tuba1b/Txn1/Uba52/Ube2m/Ube2i/Ube3a/Uqcrq/Urod/Usp9x/Bnip1/Abcf1/Safb/2410015M20Rik/Wac/Rbm27/Xrcc1/Ndufs2/Zfp2/Ctdsp1/D2Wsu81e/BC005624/Exosc2/Dnajc2/4932438A13Rik/Rsbn1/Zcchc11/Uba6/Sfswap/Bud31/Wnk1/Cnot3/Ppp1r12c/Scaf1/Picalm/Smg1/Fus/Ccdc124/Spg7/Ppan/Gtf2a2/Setd2/Osbpl8/Cfdp1/Faim/Tnpo1/Lnpep/Ik/Fem1c/Mex3c/Smc1a/Taf10/Pgap1/Impad1/Npat/Atr/Vps54/Mpst/Rfwd2/Map2k2/Orc4/Psma4/Psma6/Psma7/Psmb2/Rpl27a/Rpl23a/Cops6/Setx/Rpl12/Rpl8/Aak1/Idh2/Rpl13/Rps3/Rpl7a/Rps11/Gins2/Rps26/Mrpl39/Mrpl17/Mrpl2/Rrp9/Exosc5/Atp5o/Nop16/Dhrs4/Mga/Timm13/Tor1a/Siva1/Rpl17/A230046K03Rik/Zfp653/Rc3h2/Taf2/Sp8/Med13/Ep300/Abi2/Ctdspl2/Mrpl21/Alg10b/Rc3h1/Ssbp1/Nsfl1c/Ndufs6/Sall2/Orc3/Klf13/Nckap1/Ddah2/Rif1/Nus1/Cdca8/Rcn3/Nhp2/Sgta/Esyt2/Eif3g/Timm23/Vti1b/Cnot4/Rab11a/Rps28/Nfat5/Ubqln2/Ccdc22/Prdx5/Eif3i/Eif3d/Eef1b2/Ptbp2/Actr8/Mrpl12/Naa10/Fam60a/Arl2/Pdcd5/Arl3/Arpc3/Letm1/Syncrip/Dynll1/Ruvbl1/Nme4/Txn2/Pfdn5/Gsk3b/Mbnl1/Srsf4/Park7/Atp5j2/Gmnn/Noc2l/Rnf25/Bin3/Fibp/Trpm7/Rab2a/Edf1/Cope/Erbb2ip/Pcbp4/Myg1/Mrps23/Rpl23/Zfand6/Atp5d/Mrpl54/Sdhc/Krtcap2/Cwc15/Aurkaip1/Tomm6/Sf3b5/Elof1/Anapc11/Tomm7/Med11/Nudt14/1110037F02Rik/Ndufb9/Dmap1/Ssr2/Atp5sl/Ergic3/Ndufc1/Slmo2/Nosip/Tsfm/Psmd6/Ndufa12/Ndufa7/Dctpp1/Fis1/Cdc26/Exosc7/Gtf2h5/Rps23/Rps21/Rpl35/Mrpl51/Ndufb3/Rps19bp1/Drap1/Uqcrh/Stoml2/Eef1d/Zbed6/Prkrip1/Mrpl33/Serbp1/Appbp2/Vps28/Pbrm1/Trim59/Cisd2/Use1/Rpl11/Polr3d/Romo1/Rps6ka6/Rps10/Rpl14/Ndufa13/Rplp2/Rrp15/Mrpl42/Ndufa10/Rpl37/Cltc/Snrpd3/Erp29/Pdlim7/Rps20/Mtpap/Ccdc50/Uqcrb/Pigm/Akt1s1/Anp32b/Samd8/Rpl38/Lsm3/Mrpl24/Zmym4/Sfr1/Wdr83/Atg3/Rpl4/Cmc1/Npc2/Mphosph10/Snrpg/Col4a3bp/Rbm42/Rps13/Tm9sf2/Gltscr2/Dusp19/Dcakd/Etaa1/Bcas2/Rpl24/Hsbp1/Ndufa5/Rnaseh2c/Sdhaf1/Ndufb10/Ciz1/Ssna1/Mrpl53/Mrpl13/Mrps18a/Ict1/Pmvk/Mrpl28/Ube2c/Smek1/Pih1d1/Chmp2a/Snrpa1/Anapc13/Scnm1/Lnp/Aarsd1/Hddc2/Rnaseh2a/Gemin7/Polr2f/Polr2i/Fam162a/Dazap1/Ndufab1/Gtpbp3/Atad2/Pak4/Dcp2/Mier1/Sfpq/Atp5h/Ranbp3/Tmem106b/Cnpy3/Mzt2/Naa50/Dhx36/Acbd6/Tmem55a/Exosc6/Ints8/Zfp518a/Zkscan3/Ndufv2/Glrx5/Sh3bgrl3/Kif2c/Eif3k/Lonp1/Nudt9/Polr3c/Tnks2/Rrp7a/Manf/Sf3a3/Ndufs7/Arl5a/Phpt1/Ndufaf2/Rps25/Arl5b/Zmym2/Ppp1r11/Ift46/Spcs3/Rps9/Rbm17/Arid2/Agl/H2afv/Ube2s/Ascc3/Troap/Avl9/Cdk5rap3/Srrt/Phip/Csnk1a1/Dtnbp1/Maged1/Hmgb2/Nol12/Gtf2f1/Lbr/Sall4,601
GO:0015934,GO:0015934,large ribosomal subunit,37/660,71/13263,9.720686379058e-30,5.6477187862327e-28,4.37942502130192e-28,Mrpl41/Rpl31/Rplp0/Npm1/Rpl10a/Rpl18/Rpl19/Rpl21/Rpl22/Rpl28/Rpl32/Rpl37a/Rpl6/Rpl9/Rpl13a/Rpl27a/Rpl12/Rpl8/Rpl13/Rpl7a/Mrpl39/Mrpl17/Mrpl2/Rpl17/Mrpl12/Rpl23/Rpl35/Mrpl33/Rpl11/Rpl14/Rplp2/Rpl37/Rpl38/Rpl4/Rpl24/Mrpl13/Ict1,37
